Id,Unit,Pack section,Source focus,Type,Front,Back,Extra cue,Choices,Visual,Difficulty
card-014-7c-muscles-and-bones-vein,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Vein,Blood vessel that carries blood back towards the heart.,Returns blood to the heart.,,,1
card-015-7c-muscles-and-bones-capillary,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Capillary,"Tiny, thin-walled blood vessel where substances move between blood and body cells.","Thin walls help exchange oxygen, nutrients and carbon dioxide.",,,2
card-016-7c-muscles-and-bones-plasma,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Plasma,Liquid part of the blood.,Carries dissolved nutrients and other substances.,,,1
card-017-7c-muscles-and-bones-red-blood-cell,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,Red blood cell,Blood cell that carries oxygen using haemoglobin.,Adapted by having large surface area and no nucleus.,,,1
card-018-7c-muscles-and-bones-white-blood-cell,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Key terminology",Vocabulary,White blood cell,Blood cell that helps fight micro-organisms.,Part of body defence.,,,1
card-019-7c-muscles-and-bones-bone-marrow,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Bone marrow,Tissue inside some bones where blood cells are made.,Links skeleton to blood production.,,,1
card-020-7c-muscles-and-bones-skeleton,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Skeleton,The framework of bones that supports and protects the body and helps movement.,"Functions: support, protection, movement.",,,1
card-021-7c-muscles-and-bones-skull,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Skull,Bones that protect the brain.,Example of protection by skeleton.,,,1
card-022-7c-muscles-and-bones-ribs-sternum,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Ribs/sternum,Bones that protect the lungs and heart.,Another protection example.,,,1
card-023-7c-muscles-and-bones-vertebrae-backbone,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Vertebrae/backbone,Small bones forming the spine.,Support the body and protect the spinal cord.,,,1
card-024-7c-muscles-and-bones-joint,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Joint,Place where two or more bones meet.,Can be fixed or flexible.,,,1
card-025-7c-muscles-and-bones-fixed-joint,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Fixed joint,Joint where bones meet but do not move much.,Example: skull joints.,,,1
card-026-7c-muscles-and-bones-flexible-joint,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Flexible joint,Joint that can be moved by muscles.,Example: elbow.,,,1
card-027-7c-muscles-and-bones-hinge-joint,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Hinge joint,Joint that allows back-and-forth movement in one direction.,Example: elbow/knee.,,,1
card-028-7c-muscles-and-bones-cartilage,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Cartilage,"Smooth, slippery tissue at bone ends that reduces rubbing.",Helps joints move smoothly.,,,1
card-029-7c-muscles-and-bones-ligament,7C Muscles and bones,7Cc,"7Cc · Skeleton, joints and support · Key terminology",Vocabulary,Ligament,Tissue that connects bone to bone.,Different from tendon.,,,1
card-030-7c-muscles-and-bones-tendon,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Tendon,Tissue that connects muscle to bone.,Allows muscle pull to move bone.,,,1
card-031-7c-muscles-and-bones-muscle,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Muscle,Tissue/organ that can contract and relax to create movement.,Muscles pull; they do not push.,,,1
card-032-7c-muscles-and-bones-contract,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Contract,Get shorter and thicker.,Contracting muscles pull bones.,,,1
card-033-7c-muscles-and-bones-relax,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Relax,Stop pulling strongly; can be stretched longer by the opposite muscle or load.,Muscles pull; they do not actively push themselves longer.,,,1
card-034-7c-muscles-and-bones-antagonistic-pair,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Antagonistic pair,Two muscles that move a bone in opposite directions.,One contracts while the other relaxes.,,,2
card-035-7c-muscles-and-bones-biceps-and-triceps,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Biceps and triceps,Arm muscle pair that bends and straightens the elbow.,Biceps contracts to bend; triceps contracts to straighten.,,,1
card-036-7c-muscles-and-bones-impulse,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Impulse,Electrical signal in the nervous system.,Carries messages from brain/spinal cord to muscles.,,,1
card-037-7c-muscles-and-bones-nervous-system,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Key terminology",Vocabulary,Nervous system,"Brain, spinal cord and nerves.",Controls muscle action and reaction time.,,,1
card-038-7c-muscles-and-bones-drug,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Key terminology,Vocabulary,Drug,Substance that affects how the body works.,Medicines are useful drugs; recreational drugs can be harmful.,,,1
card-039-7c-muscles-and-bones-stimulant,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Key terminology,Vocabulary,Stimulant,Drug that speeds up nervous system messages.,Example: caffeine.,,,1
card-040-7c-muscles-and-bones-depressant,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Key terminology,Vocabulary,Depressant,Drug that slows down nervous system messages.,Example: alcohol.,,,1
card-041-7c-muscles-and-bones-reaction-time,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Key terminology,Vocabulary,Reaction time,Time taken to respond to something.,Can be changed by drugs.,,,1
card-042-7c-muscles-and-bones-side-effect,7C Muscles and bones,7Ce,7Ce · Drugs and their effects · Key terminology,Vocabulary,Side-effect,Unwanted or harmful effect of a drug.,Important in drug safety/testing.,,,1
card-043-7c-muscles-and-bones-respiration-word-equation,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Equation recall",Equation/relationship,Complete the word equation for respiration.,glucose + oxygen -> carbon dioxide + water + energy released,"This is the main biology equation to memorise. It happens in cells, not just in the lungs.",,,3
card-044-7c-muscles-and-bones-breathing-rate,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Equation recall",Equation/relationship,State how to calculate breathing rate.,breathing rate = number of breaths per minute,Count one inhale + one exhale as one breath.,,,3
card-045-7c-muscles-and-bones-pulse-rate,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Equation recall",Equation/relationship,State how to calculate pulse rate.,pulse rate = number of heart beats per minute,"Measured where an artery is close to the skin, such as the wrist or neck.",,,3
card-046-7c-muscles-and-bones-gas-exchange-direction,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Equation recall",Equation/relationship,Describe the direction of gas exchange in the lungs.,oxygen: air in lungs -> blood; carbon dioxide: blood -> air in lungs,Use arrows to describe movement clearly.,,,3
card-047-7c-muscles-and-bones-pressure-relationship,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Equation recall",Equation/relationship,"State the relationship between pressure, force and area.",pressure = force / area,Useful extension from the skeleton topic: the same force over a smaller area gives greater pressure.,,,3
card-048-7c-muscles-and-bones-what-is-the-difference-between-breathin,7C Muscles and bones,7Ca,"7Ca · Organs, breathing and gas exchange · Progression Check recall",Self-test,Describe the difference between breathing and respiration?,Breathing moves air in/out of the lungs; respiration releases energy in cells.,,,,2
card-049-7c-muscles-and-bones-why-do-muscles-need-oxygen-and-nutrient,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Progression Check recall",Self-test,Explain why muscles need oxygen and nutrients.,"For respiration, which releases energy for muscle contraction.",,,,3
card-050-7c-muscles-and-bones-why-are-antagonistic-pairs-needed,7C Muscles and bones,7Cd,"7Cd · Muscles, movement and nervous control · Progression Check recall",Self-test,Explain are antagonistic pairs needed?,"A muscle can pull but cannot push, so another muscle is needed to pull the bone back.",,,,4
card-051-7c-muscles-and-bones-what-do-red-blood-cells-white-blood-cel,7C Muscles and bones,7Cb,"7Cb · Circulation, pulse and blood · Progression Check recall",Self-test,"What do red blood cells, white blood cells and plasma do?",Red blood cells carry oxygen; white blood cells fight micro-organisms; plasma carries dissolved substances.,,,,2
card-052-7f-acids-and-alkalis-hazard,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Hazard,Something that could cause harm.,Example: corrosive acid.,,,1
card-053-7f-acids-and-alkalis-risk,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Risk,The chance that a hazard will actually cause harm.,Risk can be lowered with precautions.,,,1
card-054-7f-acids-and-alkalis-precaution,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Precaution,Action taken to reduce risk.,Example: wear eye protection.,,,1
card-055-7f-acids-and-alkalis-corrosive,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Corrosive,Able to damage or destroy materials and living tissue.,Most concentrated acids can be corrosive.,,,1
card-056-7f-acids-and-alkalis-irritant,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Irritant,"Causes soreness or stinging, especially to skin or eyes.",Many dilute acids are irritants.,,,1
card-057-7f-acids-and-alkalis-toxic,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Toxic,Poisonous.,Avoid contact and ingestion.,,,1
card-058-7f-acids-and-alkalis-flammable,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Flammable,Catches fire easily.,Keep away from flames.,,,1
card-059-7f-acids-and-alkalis-explosive,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Explosive,"Reacts very quickly, releasing energy, gas and sound.",Can be triggered by heat.,,,1
card-060-7f-acids-and-alkalis-acid,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Key terminology,Vocabulary,Acid,Solution with pH less than 7; turns blue litmus red.,Lower pH means more acidic.,,,1
card-061-7f-acids-and-alkalis-alkali,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Key terminology,Vocabulary,Alkali,Solution with pH more than 7; turns red litmus blue.,Higher pH means more alkaline.,,,1
card-062-7f-acids-and-alkalis-base,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Key terminology,Vocabulary,Base,Substance that neutralises an acid to form salt and water.,Can be soluble or insoluble. A soluble base is an alkali.,,,1
card-063-7f-acids-and-alkalis-soluble,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Key terminology",Vocabulary,Soluble,Able to dissolve in a liquid.,Soluble base = alkali.,,,1
card-064-7f-acids-and-alkalis-insoluble,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Key terminology",Vocabulary,Insoluble,Unable to dissolve in a liquid.,Some bases are insoluble.,,,1
card-065-7f-acids-and-alkalis-concentrated,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Concentrated,Contains a large amount of dissolved substance in a small amount of solvent.,More concentrated usually means more hazardous.,,,1
card-066-7f-acids-and-alkalis-dilute-diluted,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Key terminology",Vocabulary,Dilute/diluted,Made less concentrated by adding water.,Dilute acids are less hazardous than concentrated acids.,,,1
card-067-7f-acids-and-alkalis-indicator,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Indicator,Dye that changes colour in acids and alkalis.,Used to test unknown solutions.,,,2
card-068-7f-acids-and-alkalis-litmus,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Litmus,"Indicator: red in acid, blue in alkali.",Use litmus for acid/alkali only: acids turn blue litmus red; alkalis turn red litmus blue.,,,2
card-069-7f-acids-and-alkalis-universal-indicator,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Key terminology,Vocabulary,Universal indicator,Indicator that shows a range of colours for different pH values.,Use the colour change to estimate pH on the pH scale.,,,2
card-070-7f-acids-and-alkalis-ph-scale,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Key terminology,Vocabulary,pH scale,Scale from 1 to 14 showing acidity/alkalinity.,Acid < 7; neutral = 7; alkali > 7.,,,1
card-071-7f-acids-and-alkalis-neutral,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Key terminology,Vocabulary,Neutral,Neither acid nor alkali; pH 7.,Pure water is neutral.,,,1
card-072-7f-acids-and-alkalis-chemical-reaction,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Chemical reaction,Change where new substances are formed.,Reactants become products.,,,1
card-073-7f-acids-and-alkalis-reactants,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Reactants,Starting substances in a reaction.,Written on the left of a word equation.,,,1
card-074-7f-acids-and-alkalis-products,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Products,New substances made in a reaction.,Written on the right of a word equation.,,,1
card-075-7f-acids-and-alkalis-word-equation,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Word equation,Equation using names of substances with an arrow from reactants to products.,Arrow means react to form.,,,1
card-076-7f-acids-and-alkalis-neutralisation,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Key terminology,Vocabulary,Neutralisation,Reaction where an acid reacts with an alkali/base to make salt and water only.,Core chemistry reaction for this unit.,,,2
card-077-7f-acids-and-alkalis-salt,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Key terminology,Vocabulary,Salt,"Substance made, besides water, when an acid is neutralised by a base/alkali.",Salt name depends on acid and metal/base used.,,,1
card-078-7f-acids-and-alkalis-antacid,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Key terminology,Vocabulary,Antacid,Medicine containing a base that neutralises excess stomach acid.,Everyday neutralisation example.,,,2
card-079-7f-acids-and-alkalis-acid-rain,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Key terminology",Vocabulary,Acid rain,Rainwater made more acidic by air pollution.,"Can damage plants, water systems and buildings.",,,1
card-080-7f-acids-and-alkalis-neutralisation-with-alkali,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Equation recall,Equation/relationship,Neutralisation with alkali,acid + alkali -> salt + water,Learn this exactly.,,,3
card-081-7f-acids-and-alkalis-neutralisation-with-base,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Equation recall,Equation/relationship,Neutralisation with base,acid + base -> salt + water,A base may be soluble or insoluble.,,,3
card-082-7f-acids-and-alkalis-hydrochloric-acid-salt-rule,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Equation recall",Equation/relationship,Hydrochloric acid salt rule,hydrochloric acid -> chloride salts,Example: zinc oxide + hydrochloric acid -> zinc chloride + water.,,,3
card-083-7f-acids-and-alkalis-nitric-acid-salt-rule,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Equation recall",Equation/relationship,Nitric acid salt rule,nitric acid -> nitrate salts,Example: magnesium oxide + nitric acid -> magnesium nitrate + water.,,,3
card-084-7f-acids-and-alkalis-sulfuric-acid-salt-rule,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Equation recall",Equation/relationship,Sulfuric acid salt rule,sulfuric acid -> sulfate salts,Example: copper oxide + sulfuric acid -> copper sulfate + water.,,,3
card-085-7f-acids-and-alkalis-ph-classification,7F Acids and alkalis,7Fc,7Fc · The pH scale and measuring pH · Equation recall,Equation/relationship,pH classification,acid: pH < 7; neutral: pH = 7; alkali: pH > 7,"The lower the acid pH, the more acidic. The higher the alkali pH, the more alkaline.",,,3
card-086-7f-acids-and-alkalis-what-is-the-difference-between-a-hazard,7F Acids and alkalis,7Fa,"7Fa · Hazards, acids and indicators · Progression Check recall",Self-test,Describe the difference between a hazard and a risk?,A hazard can cause harm; a risk is the chance it actually causes harm.,,,,2
card-087-7f-acids-and-alkalis-what-colour-is-litmus-in-acid-and-alkal,7F Acids and alkalis,7Fb,"7Fb · Acids, alkalis and indicator tests · Progression Check recall",Self-test,What colour is litmus in acid and alkali?,Acid: red. Alkali: blue.,,,,2
card-088-7f-acids-and-alkalis-what-are-the-products-of-neutralisation,7F Acids and alkalis,7Fd,7Fd · Neutralisation reactions · Progression Check recall,Self-test,State the products of neutralisation?,A salt and water.,Use the reaction pattern: acid + alkali/base -> salt + water.,,,4
card-089-7f-acids-and-alkalis-how-do-you-decide-the-second-part-of-a-,7F Acids and alkalis,7Fe,"7Fe · Bases, salts and everyday reactions · Progression Check recall",Self-test,How do you decide the second part of a salt name?,"It comes from the acid: hydrochloric gives chloride, nitric gives nitrate, sulfuric gives sulfate.",,,,2
card-090-7j-current-electricity-electricity,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Electricity,A way of transferring energy through wires by moving charges.,Needs a complete circuit and a source such as a cell.,,,1
card-091-7j-current-electricity-charge,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Charge,"Tiny charged particles, such as electrons, can move around a circuit.",The flow of charged particles is current.,,,2
card-092-7j-current-electricity-current,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Current,Flow of electricity/charges around a circuit.,Measured in amps with an ammeter.,,,2
card-093-7j-current-electricity-ampere-amp-a,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Ampere / amp (A),Unit of current.,Symbol A.,,,2
card-094-7j-current-electricity-ammeter,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,Ammeter,Instrument that measures current.,Connect in series.,,,2
card-095-7j-current-electricity-voltage,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Voltage,Measure of energy transferred by electricity; the push from the source.,Measured in volts with a voltmeter.,,,2
card-096-7j-current-electricity-volt-v,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Volt (V),Unit of voltage.,Symbol V.,,,2
card-097-7j-current-electricity-voltmeter,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Voltmeter,Instrument that measures voltage.,Connect in parallel across a component.,,,2
card-098-7j-current-electricity-cell,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Cell,Source of electrical energy in a circuit.,Cells push charges around a circuit.,,,1
card-099-7j-current-electricity-power-pack,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Power pack,School-safe low-voltage supply.,Acts as a source of voltage.,,,2
card-100-7j-current-electricity-component,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Component,"Part of a circuit, such as a bulb, switch, resistor or motor.",Use correct circuit symbols.,,,1
card-101-7j-current-electricity-switch,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Switch,Component that opens or closes a circuit.,Open switch = gap = no current.,,,2
card-102-7j-current-electricity-bulb,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Bulb,Component that transfers electrical energy to light and heat.,Brightness can change with current/voltage and circuit layout.,,,2
card-103-7j-current-electricity-filament,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Filament,Thin wire in a bulb that glows when current flows.,Transfers energy as light and heat.,,,2
card-104-7j-current-electricity-conductor,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Conductor,Material that allows electricity to flow through it.,Metals are good conductors.,,,1
card-105-7j-current-electricity-insulator,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Insulator,Material that does not allow electricity to flow easily.,Plastic is a good insulator.,,,1
card-106-7j-current-electricity-resistance,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Resistance,How difficult it is for current to flow.,High resistance gives smaller current.,,,2
card-107-7j-current-electricity-resistor,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Resistor,Component that increases resistance and reduces current.,Used to control current.,,,2
card-108-7j-current-electricity-variable-resistor,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Key terminology",Vocabulary,Variable resistor,Resistor whose resistance can be changed.,Changing resistance changes current.,,,2
card-109-7j-current-electricity-series-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,Series circuit,Circuit with one loop/path.,Same current everywhere; one break stops all components.,,,2
card-110-7j-current-electricity-parallel-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,Parallel circuit,Circuit with branches.,Current splits at branches; components can work independently.,,,2
card-111-7j-current-electricity-and-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,AND circuit,Two switches arranged so both must be closed for the component to turn on.,Like switches in series.,,,2
card-112-7j-current-electricity-or-circuit,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,OR circuit,Two switches arranged so either switch can turn the component on.,Like switches in parallel.,,,2
card-113-7j-current-electricity-static-electricity,7J Current electricity,7Ja,"7Ja · Current, components and complete circuits · Key terminology",Vocabulary,Static electricity,Attraction or repulsion caused when materials rub and charges build up.,Different from current electricity in a circuit.,,,2
card-114-7j-current-electricity-model,7J Current electricity,7Jb,7Jb · Models for electricity · Key terminology,Vocabulary,Model,A representation that helps explain something complicated.,Circuit models are useful but not perfect.,,,2
card-115-7j-current-electricity-analogy,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Key terminology",Vocabulary,Analogy,Model that compares something hard to understand with something familiar.,Example: central heating model for circuits.,,,2
card-116-7j-current-electricity-fuse,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Fuse,Safety wire that melts if current is too high.,Protects against overheating/fire.,,,2
card-117-7j-current-electricity-fuse-rating,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Fuse rating,Largest current a fuse can carry without melting.,Use the correct fuse rating.,,,2
card-118-7j-current-electricity-circuit-breaker,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Circuit breaker,Safety device that switches off current if it gets too high.,Can be reset.,,,2
card-119-7j-current-electricity-live-wire,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Live wire,Brown wire in a plug/cable; part of the circuit.,Dangerous if touched.,,,1
card-120-7j-current-electricity-neutral-wire,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Neutral wire,Blue wire in a plug/cable; part of the circuit.,Completes the circuit.,,,1
card-121-7j-current-electricity-earth-wire,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Earth wire,Green/yellow safety wire.,Works with the fuse for safety.,,,1
card-122-7j-current-electricity-ring-main,7J Current electricity,7Je,7Je · Electrical safety and plugs · Key terminology,Vocabulary,Ring main,House wiring arrangement using a loop of parallel circuits.,Protected by circuit breakers.,,,2
card-123-7j-current-electricity-current-unit-relationship,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Equation recall",Equation/relationship,Current unit relationship,current is measured in amperes (A),Use an ammeter in series.,,,4
card-124-7j-current-electricity-voltage-unit-relationship,7J Current electricity,7Jd,"7Jd · Voltage, resistance and measurements · Equation recall",Equation/relationship,Voltage unit relationship,voltage is measured in volts (V),Use a voltmeter in parallel.,,,4
card-125-7j-current-electricity-series-current-rule,7J Current electricity,7Jc,"7Jc · Series, parallel and switching · Equation recall",Equation/relationship,Series current rule,I is the same everywhere in a series circuit,"If one component breaks, the whole circuit stops.",,,4
