Id,Unit,Type,Pack section,Before,After
card-145-7c-muscles-and-bones-what-connects-muscle-to-bone,7C Muscles and bones,Multiple choice,7Cd,What connects muscle to bone?,What is the name of the tissue that joins muscle to bone?
card-146-7c-muscles-and-bones-why-are-antagonistic-muscle-pairs-neede,7C Muscles and bones,Multiple choice,7Cd,Why are antagonistic muscle pairs needed?,Which statement explains why antagonistic muscle pairs are needed?
card-147-7c-muscles-and-bones-when-the-biceps-contracts-what-usually-,7C Muscles and bones,Multiple choice,7Cd,"When the biceps contracts, what usually happens at the elbow?",What happens at the elbow when the biceps contracts?
card-148-7c-muscles-and-bones-when-the-triceps-contracts-what-usually,7C Muscles and bones,Multiple choice,7Cd,"When the triceps contracts, what usually happens at the elbow?",What happens at the elbow when the triceps contracts?
card-149-7c-muscles-and-bones-what-is-the-nervous-system-made-from,7C Muscles and bones,Multiple choice,7Cd,What is the nervous system made from?,Which list gives the main parts of the nervous system?
card-150-7c-muscles-and-bones-what-is-an-impulse-in-the-nervous-syste,7C Muscles and bones,Multiple choice,7Cd,What is an impulse in the nervous system?,Which statement describes an impulse in the nervous system?
card-151-7c-muscles-and-bones-what-is-a-stimulant,7C Muscles and bones,Multiple choice,7Ce,What is a stimulant?,Which statement describes a stimulant?
card-152-7c-muscles-and-bones-what-is-a-depressant,7C Muscles and bones,Multiple choice,7Ce,What is a depressant?,Which statement describes a depressant?
card-153-7c-muscles-and-bones-what-is-reaction-time,7C Muscles and bones,Multiple choice,7Cd,What is reaction time?,Which statement describes reaction time?
card-154-7c-muscles-and-bones-which-word-equation-is-correct-for-resp,7C Muscles and bones,Multiple choice,7Ca,Which word equation is correct for respiration?,Complete the word equation for respiration.
card-155-7c-muscles-and-bones-what-is-pulse-rate,7C Muscles and bones,Multiple choice,7Cb,What is pulse rate?,What does pulse rate measure?
card-156-7c-muscles-and-bones-what-does-plasma-do-in-blood,7C Muscles and bones,Multiple choice,7Cd,What does plasma do in blood?,What is one function of plasma in the blood?
card-157-7c-muscles-and-bones-why-do-muscles-need-oxygen-and-nutrient,7C Muscles and bones,Multiple choice,7Cd,Why do muscles need oxygen and nutrients?,Explain why muscles need oxygen and nutrients.
card-158-7f-acids-and-alkalis-what-is-a-hazard,7F Acids and alkalis,Multiple choice,7Fd,What is a hazard?,Which statement best describes a hazard?
card-159-7f-acids-and-alkalis-what-is-risk,7F Acids and alkalis,Multiple choice,7Fc,What is risk?,Which statement best describes risk?
card-160-7f-acids-and-alkalis-what-does-corrosive-mean,7F Acids and alkalis,Multiple choice,7Fc,What does corrosive mean?,What does the corrosive hazard warning mean?
card-161-7f-acids-and-alkalis-what-does-flammable-mean,7F Acids and alkalis,Multiple choice,7Fa,What does flammable mean?,Which statement describes what flammable mean?
card-162-7f-acids-and-alkalis-what-is-an-acid,7F Acids and alkalis,Multiple choice,7Fc,What is an acid?,Which statement best describes an acid?
card-163-7f-acids-and-alkalis-what-is-an-alkali,7F Acids and alkalis,Multiple choice,7Fc,What is an alkali?,Which statement best describes an alkali?
card-164-7f-acids-and-alkalis-what-ph-is-neutral,7F Acids and alkalis,Multiple choice,7Fc,What pH is neutral?,What is the pH of a neutral solution?
card-165-7f-acids-and-alkalis-what-colour-does-blue-litmus-turn-in-ac,7F Acids and alkalis,Multiple choice,7Fc,What colour does blue litmus turn in acid?,What colour is litmus in an acid?
card-167-7f-acids-and-alkalis-what-is-universal-indicator-used-for,7F Acids and alkalis,Multiple choice,7Fc,What is universal indicator used for?,Which statement best describes universal indicator used for?
card-168-7f-acids-and-alkalis-what-is-neutralisation,7F Acids and alkalis,Multiple choice,7Fd,What is neutralisation?,Which statement best describes neutralisation?
card-170-7f-acids-and-alkalis-what-is-a-base,7F Acids and alkalis,Multiple choice,7Fd,What is a base?,Which statement best describes a base?
card-171-7f-acids-and-alkalis-what-does-soluble-mean,7F Acids and alkalis,Multiple choice,7Fc,What does soluble mean?,Which statement describes what soluble mean?
card-172-7f-acids-and-alkalis-what-does-insoluble-mean,7F Acids and alkalis,Multiple choice,7Fb,What does insoluble mean?,Which statement describes what insoluble mean?
card-173-7f-acids-and-alkalis-what-does-dilute-mean,7F Acids and alkalis,Multiple choice,7Fb,What does dilute mean?,Which statement describes what dilute mean?
card-174-7f-acids-and-alkalis-what-does-concentrated-mean,7F Acids and alkalis,Multiple choice,7Fb,What does concentrated mean?,Which statement describes what concentrated mean?
card-177-7f-acids-and-alkalis-what-does-hydrochloric-acid-make-in-sal,7F Acids and alkalis,Multiple choice,7Fe,What does hydrochloric acid make in salt names?,Which statement describes what hydrochloric acid make in salt names?
card-178-7f-acids-and-alkalis-what-does-nitric-acid-make-in-salt-name,7F Acids and alkalis,Multiple choice,7Fe,What does nitric acid make in salt names?,Which statement describes what nitric acid make in salt names?
card-179-7f-acids-and-alkalis-what-does-sulfuric-acid-make-in-salt-na,7F Acids and alkalis,Multiple choice,7Fe,What does sulfuric acid make in salt names?,Which statement describes what sulfuric acid make in salt names?
card-180-7f-acids-and-alkalis-why-can-antacids-help-indigestion,7F Acids and alkalis,Multiple choice,7Fd,Why can antacids help indigestion?,Which statement best explains why can antacids help indigestion?
card-181-7f-acids-and-alkalis-what-is-acid-rain,7F Acids and alkalis,Multiple choice,7Fe,What is acid rain?,Which statement best describes acid rain?
card-182-7j-current-electricity-what-is-current,7J Current electricity,Multiple choice,7Jc,What is current?,Which statement best describes electric current?
card-184-7j-current-electricity-how-should-an-ammeter-be-connected,7J Current electricity,Multiple choice,7Jc,How should an ammeter be connected?,Which statement best explains how should an ammeter be connected?
card-185-7j-current-electricity-what-is-voltage,7J Current electricity,Multiple choice,7Jd,What is voltage?,Which statement describes voltage?
card-186-7j-current-electricity-how-should-a-voltmeter-be-connected,7J Current electricity,Multiple choice,7Je,How should a voltmeter be connected?,Which statement best explains how should a voltmeter be connected?
card-187-7j-current-electricity-what-does-a-cell-do-in-a-circuit,7J Current electricity,Multiple choice,7Ja,What does a cell do in a circuit?,Which statement describes what a cell do in a circuit?
card-188-7j-current-electricity-what-does-a-switch-do,7J Current electricity,Multiple choice,7Jd,What does a switch do?,What does closing a switch do in a circuit?
card-189-7j-current-electricity-what-is-a-conductor,7J Current electricity,Multiple choice,7Ja,What is a conductor?,Which statement describes a conductor?
card-190-7j-current-electricity-what-is-an-insulator,7J Current electricity,Multiple choice,7Ja,What is an insulator?,Which statement describes an insulator?
card-191-7j-current-electricity-what-is-resistance,7J Current electricity,Multiple choice,7Jd,What is resistance?,Which statement describes resistance?
card-192-7j-current-electricity-what-does-a-resistor-do,7J Current electricity,Multiple choice,7Jd,What does a resistor do?,Which statement describes what a resistor do?
card-193-7j-current-electricity-what-is-a-variable-resistor,7J Current electricity,Multiple choice,7Jd,What is a variable resistor?,Which statement best describes a variable resistor?
card-194-7j-current-electricity-what-is-a-series-circuit,7J Current electricity,Multiple choice,7Jc,What is a series circuit?,Which statement best describes a series circuit?
card-195-7j-current-electricity-what-is-a-parallel-circuit,7J Current electricity,Multiple choice,7Jc,What is a parallel circuit?,Which statement best describes a parallel circuit?
card-197-7j-current-electricity-what-is-the-current-rule-for-a-parall,7J Current electricity,Multiple choice,7Jc,What is the current rule for a parallel circuit?,Which statement best describes the current rule for a parallel circuit?
card-198-7j-current-electricity-what-happens-if-one-bulb-breaks-in-a-,7J Current electricity,Multiple choice,7Jd,What happens if one bulb breaks in a parallel circuit?,What happens in a parallel circuit if one bulb breaks?
card-202-7j-current-electricity-what-is-an-and-circuit,7J Current electricity,Multiple choice,7Jc,What is an AND circuit?,Which statement best describes an AND circuit?
card-203-7j-current-electricity-what-is-an-or-circuit,7J Current electricity,Multiple choice,7Jd,What is an OR circuit?,Which statement best describes an OR circuit?
card-204-7j-current-electricity-what-does-a-fuse-do,7J Current electricity,Multiple choice,7Je,What does a fuse do?,Which statement describes what a fuse do?
card-206-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Ja,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-207-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-208-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Je,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-209-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jc,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-210-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-211-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-212-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-213-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-214-7j-current-electricity-which-circuit-symbol-is-shown,7J Current electricity,Visual challenge,7Jd,Which circuit symbol is shown?,Which circuit symbol is shown in the diagram?
card-219-7j-current-electricity-what-is-wrong-with-this-circuit,7J Current electricity,Spot the mistake,7Jd,What is wrong with this circuit?,Look at the circuit diagram. What is the mistake?
card-220-7j-current-electricity-for-the-and-switch-circuit-what-must-,7J Current electricity,Visual challenge,7Jc,"For the AND switch circuit, what must happen for the lamp to light?","Look at the circuit diagram. For the AND switch circuit, what must happen for the lamp to light?"
card-221-7j-current-electricity-for-the-or-switch-circuit-what-must-h,7J Current electricity,Visual challenge,7Jc,"For the OR switch circuit, what must happen for the lamp to light?","Look at the circuit diagram. For the OR switch circuit, what must happen for the lamp to light?"
card-222-7j-current-electricity-the-switch-labelled-a-is-open-what-do,7J Current electricity,Visual challenge,7Jd,The switch labelled A is open. What does this do?,Look at the circuit diagram. The switch labelled A is open. What does this do?
card-224-7j-current-electricity-what-is-wrong-with-this-circuit,7J Current electricity,Spot the mistake,7Jd,What is wrong with this circuit?,Look at the circuit diagram. What is the mistake?
card-233-7f-acids-and-alkalis-in-the-neutralisation-setup-what-is-usu,7F Acids and alkalis,Practical method,7Fd,"In the neutralisation setup, what is usually added to show the end point?","In this practical, in the neutralisation setup, what is usually added to show the end point?"
card-234-7f-acids-and-alkalis-in-the-neutralisation-setup-what-reacti,7F Acids and alkalis,Practical method,7Fd,"In the neutralisation setup, what reaction is being tested?","In this practical, in the neutralisation setup, what reaction is being tested?"
card-240-7f-acids-and-alkalis-a-student-says-ph-1-is-a-strong-alkali-,7F Acids and alkalis,Spot the mistake,7Fc,A student says: “pH 1 is a strong alkali.” What is wrong?,A student gives this answer: “pH 1 is a strong alkali.” What is wrong?
card-241-7c-muscles-and-bones-in-the-elbow-joint-diagram-which-label-,7C Muscles and bones,Visual challenge,7Cc,"In the elbow joint diagram, which label shows cartilage?","Look at the diagram. in the elbow joint diagram, which label shows cartilage?"
card-242-7c-muscles-and-bones-in-the-elbow-joint-diagram-which-label-,7C Muscles and bones,Visual challenge,7Cc,"In the elbow joint diagram, which label shows a ligament?","Look at the diagram. in the elbow joint diagram, which label shows a ligament?"
card-243-7c-muscles-and-bones-in-the-elbow-joint-diagram-which-label-,7C Muscles and bones,Visual challenge,7Cd,"In the elbow joint diagram, which label shows a tendon?","Look at the diagram. in the elbow joint diagram, which label shows a tendon?"
card-244-7c-muscles-and-bones-in-the-arm-diagram-which-label-is-the-b,7C Muscles and bones,Visual challenge,7Cd,"In the arm diagram, which label is the biceps muscle?","Look at the diagram. in the arm diagram, which label is the biceps muscle?"
card-245-7c-muscles-and-bones-in-the-arm-diagram-which-label-is-the-t,7C Muscles and bones,Visual challenge,7Cd,"In the arm diagram, which label is the triceps muscle?","Look at the diagram. in the arm diagram, which label is the triceps muscle?"
card-246-7c-muscles-and-bones-in-the-arm-diagram-why-are-a-and-b-call,7C Muscles and bones,Visual challenge,7Cd,"In the arm diagram, why are A and B called an antagonistic pair?","Look at the diagram. in the arm diagram, why are A and B called an antagonistic pair?"
card-247-7c-muscles-and-bones-in-the-skeleton-diagram-which-label-sho,7C Muscles and bones,Visual challenge,7Cc,"In the skeleton diagram, which label shows the skull?","Look at the diagram. in the skeleton diagram, which label shows the skull?"
card-248-7c-muscles-and-bones-in-the-skeleton-diagram-which-label-sho,7C Muscles and bones,Visual challenge,7Cc,"In the skeleton diagram, which label shows the ribs?","Look at the diagram. in the skeleton diagram, which label shows the ribs?"
card-249-7c-muscles-and-bones-in-the-skeleton-diagram-which-label-sho,7C Muscles and bones,Visual challenge,7Cc,"In the skeleton diagram, which label shows the backbone/spine area?","Look at the diagram. in the skeleton diagram, which label shows the backbone/spine area?"
card-250-7c-muscles-and-bones-in-the-breathing-diagram-which-label-sh,7C Muscles and bones,Visual challenge,7Ca,"In the breathing diagram, which label shows the trachea/airway?","Look at the diagram. in the breathing diagram, which label shows the trachea/airway?"
card-251-7c-muscles-and-bones-in-the-breathing-diagram-which-label-sh,7C Muscles and bones,Visual challenge,7Ca,"In the breathing diagram, which label shows a lung?","Look at the diagram. in the breathing diagram, which label shows a lung?"
card-252-7c-muscles-and-bones-in-the-breathing-diagram-which-label-sh,7C Muscles and bones,Visual challenge,7Cd,"In the breathing diagram, which label shows the diaphragm?","Look at the diagram. in the breathing diagram, which label shows the diaphragm?"
card-253-7c-muscles-and-bones-in-the-gas-exchange-diagram-which-label,7C Muscles and bones,Visual challenge,7Cb,"In the gas exchange diagram, which label shows oxygen moving into the blood?","Look at the diagram. in the gas exchange diagram, which label shows oxygen moving into the blood?"
card-254-7c-muscles-and-bones-in-the-gas-exchange-diagram-which-label,7C Muscles and bones,Visual challenge,7Cb,"In the gas exchange diagram, which label shows carbon dioxide moving into the air sac?","Look at the diagram. in the gas exchange diagram, which label shows carbon dioxide moving into the air sac?"
card-255-7c-muscles-and-bones-in-the-blood-vessels-diagram-which-labe,7C Muscles and bones,Visual challenge,7Cb,"In the blood-vessels diagram, which label shows the artery?","Look at the diagram. in the blood-vessels diagram, which label shows the artery?"
card-256-7c-muscles-and-bones-in-the-blood-vessels-diagram-which-labe,7C Muscles and bones,Visual challenge,7Cb,"In the blood-vessels diagram, which label shows the vein?","Look at the diagram. in the blood-vessels diagram, which label shows the vein?"
card-257-7c-muscles-and-bones-in-the-blood-vessels-diagram-which-labe,7C Muscles and bones,Visual challenge,7Cb,"In the blood-vessels diagram, which label shows capillaries?","Look at the diagram. in the blood-vessels diagram, which label shows capillaries?"
card-258-7c-muscles-and-bones-in-the-ruler-drop-test-what-does-the-di,7C Muscles and bones,Practical method,7Cd,"In the ruler-drop test, what does the distance fallen help estimate?","In this practical, in the ruler-drop test, what does the distance fallen help estimate?"
card-259-7c-muscles-and-bones-a-student-says-muscles-push-bones-to-mo,7C Muscles and bones,Spot the mistake,7Cd,A student says: “Muscles push bones to move them.” What is wrong?,A student gives this answer: “Muscles push bones to move them.” What is wrong?
card-260-7c-muscles-and-bones-a-student-says-tendons-connect-bone-to-,7C Muscles and bones,Spot the mistake,7Cd,A student says: “Tendons connect bone to bone.” What is wrong?,A student gives this answer: “Tendons connect bone to bone.” What is wrong?
card-268-7c-muscles-and-bones-what-are-the-two-loops-in-the-human-dou,7C Muscles and bones,Self-test,7Ce,What are the two loops in the human double circulatory system?,Describe the two loops in the human double circulatory system.
card-269-7c-muscles-and-bones-why-does-blood-go-to-the-lungs-in-one-l,7C Muscles and bones,Multiple choice,7Cc,Why does blood go to the lungs in one loop of double circulation?,Why does one loop of double circulation carry blood to the lungs?
card-270-7c-muscles-and-bones-what-happens-to-the-chambers-of-the-hea,7C Muscles and bones,Multiple choice,7Cd,What happens to the chambers of the heart when heart muscle contracts?,What happens to the heart chambers when the heart muscle contracts?
card-274-7c-muscles-and-bones-which-blood-vessel-has-walls-one-cell-t,7C Muscles and bones,Multiple choice,7Cc,Which blood vessel has walls one cell thick for exchange?,Which blood vessel is adapted for exchange by having very thin walls?
card-278-7c-muscles-and-bones-what-unit-is-force-measured-in,7C Muscles and bones,Multiple choice,7Cd,What unit is force measured in?,Which unit should be used to record force?
card-280-7c-muscles-and-bones-why-do-muscles-need-to-work-in-pairs,7C Muscles and bones,Multiple choice,7Cd,Why do muscles need to work in pairs?,Which statement best explains why do muscles need to work in pairs?
card-284-7c-muscles-and-bones-which-is-a-scientific-question,7C Muscles and bones,Multiple choice,7Cb,Which is a scientific question?,Which question could be answered using scientific evidence?
card-285-7c-muscles-and-bones-which-is-an-ethical-question,7C Muscles and bones,Multiple choice,7Ce,Which is an ethical question?,Which question is an ethical question rather than a scientific question?
card-288-7c-muscles-and-bones-which-list-contains-stimulants-from-the,7C Muscles and bones,Multiple choice,7Ce,Which list contains stimulants from the revision pack examples?,Which list contains examples of stimulants?
card-289-7c-muscles-and-bones-which-list-contains-depressants-from-th,7C Muscles and bones,Multiple choice,7Ce,Which list contains depressants from the revision pack examples?,Which list contains examples of depressants?
card-293-7c-muscles-and-bones-why-can-depressants-increase-accident-r,7C Muscles and bones,Multiple choice,7Ce,Why can depressants increase accident risk?,Which statement best explains why can depressants increase accident risk?
card-294-7c-muscles-and-bones-why-must-new-medicines-be-tested-before,7C Muscles and bones,Self-test,7Ce,Why must new medicines be tested before doctors use them widely?,Explain must new medicines be tested before doctors use them widely?
card-295-7c-muscles-and-bones-a-student-says-all-drugs-are-illegal-an,7C Muscles and bones,Spot the mistake,7Ce,A student says: “All drugs are illegal and harmful.” What is wrong?,A student gives this answer: “All drugs are illegal and harmful.” What is wrong?
card-308-7f-acids-and-alkalis-in-the-hazard-symbols-diagram-which-lab,7F Acids and alkalis,Visual challenge,7Fa,"In the hazard-symbols diagram, which label shows a corrosive substance?","Look at the diagram. in the hazard-symbols diagram, which label shows a corrosive substance?"
card-309-7f-acids-and-alkalis-in-the-hazard-symbols-diagram-which-lab,7F Acids and alkalis,Visual challenge,7Fa,"In the hazard-symbols diagram, which label shows a toxic substance?","Look at the diagram. in the hazard-symbols diagram, which label shows a toxic substance?"
card-310-7f-acids-and-alkalis-in-the-hazard-symbols-diagram-which-lab,7F Acids and alkalis,Visual challenge,7Fa,"In the hazard-symbols diagram, which label shows an explosive substance?","Look at the diagram. in the hazard-symbols diagram, which label shows an explosive substance?"
card-311-7f-acids-and-alkalis-in-the-hazard-symbols-diagram-which-lab,7F Acids and alkalis,Visual challenge,7Fa,"In the hazard-symbols diagram, which label shows an irritant or harmful substance?","Look at the diagram. in the hazard-symbols diagram, which label shows an irritant or harmful substance?"
card-312-7f-acids-and-alkalis-in-the-hazard-symbols-diagram-which-lab,7F Acids and alkalis,Visual challenge,7Fa,"In the hazard-symbols diagram, which label shows danger to the environment?","Look at the diagram. in the hazard-symbols diagram, which label shows danger to the environment?"
card-320-7f-acids-and-alkalis-what-does-universal-indicator-paper-nee,7F Acids and alkalis,Multiple choice,7Fc,What does universal indicator paper need to be compared with?,Which statement describes what universal indicator paper need to be compared with?
card-330-7f-acids-and-alkalis-why-can-toothpaste-help-protect-teeth-f,7F Acids and alkalis,Self-test,7Fd,Why can toothpaste help protect teeth from acids?,Explain can toothpaste help protect teeth from acids?
card-331-7f-acids-and-alkalis-why-might-farmers-add-a-base-to-soil,7F Acids and alkalis,Self-test,7Fd,Why might farmers add a base to soil?,Explain might farmers add a base to soil?
card-332-7f-acids-and-alkalis-why-are-alkalis-used-with-acidic-gases-,7F Acids and alkalis,Self-test,7Fd,Why are alkalis used with acidic gases from power stations?,Explain are alkalis used with acidic gases from power stations?
card-333-7f-acids-and-alkalis-how-can-sulfuric-acid-help-remove-rust,7F Acids and alkalis,Self-test,7Fe,How can sulfuric acid help remove rust?,Explain how sulfuric acid help remove rust?
card-334-7f-acids-and-alkalis-a-student-says-diluting-an-acid-makes-i,7F Acids and alkalis,Spot the mistake,7Fd,A student says: “Diluting an acid makes it an alkali.” What is wrong?,A student gives this answer: “Diluting an acid makes it an alkali.” What is wrong?
card-335-7f-acids-and-alkalis-a-student-says-a-concentrated-acid-is-a,7F Acids and alkalis,Spot the mistake,7Fc,A student says: “A concentrated acid is always the same idea as a strong acid.” What is wrong?,A student gives this answer: “A concentrated acid is always the same idea as a strong acid.” What is wrong?
card-339-7j-current-electricity-why-are-models-useful-when-learning-a,7J Current electricity,Multiple choice,7Jb,Why are models useful when learning about electric circuits?,Why are models useful for thinking about electric circuits?
card-344-7j-current-electricity-which-is-a-physical-model,7J Current electricity,Multiple choice,7Jd,Which is a physical model?,Which example is a physical model of an electric circuit?
card-345-7j-current-electricity-which-is-an-abstract-model,7J Current electricity,Multiple choice,7Jb,Which is an abstract model?,Which example is an abstract model of an electric circuit?
card-356-7j-current-electricity-which-dangers-can-electricity-cause-i,7J Current electricity,Multiple choice,7Je,Which dangers can electricity cause if not used properly?,Which dangers can electricity cause if it is not used safely?
card-357-7j-current-electricity-why-should-you-not-use-electrical-equ,7J Current electricity,Multiple choice,7Je,Why should you not use electrical equipment with wet hands?,Why should electrical equipment not be used with wet hands?
card-358-7j-current-electricity-why-should-sockets-not-be-overloaded,7J Current electricity,Multiple choice,7Je,Why should sockets not be overloaded?,Why is it unsafe to plug too many appliances into one socket?
card-360-7j-current-electricity-why-are-cells-safer-than-mains-electr,7J Current electricity,Multiple choice,7Je,Why are cells safer than mains electricity for school circuits and toys?,Which statement best explains why are cells safer than mains electricity for school circuits and toys?
card-361-7j-current-electricity-what-does-a-fuse-do-if-the-current-ge,7J Current electricity,Multiple choice,7Je,What does a fuse do if the current gets too high?,What does a fuse do when the current gets too high?
card-362-7j-current-electricity-what-does-a-circuit-breaker-do-if-cur,7J Current electricity,Multiple choice,7Je,What does a circuit breaker do if current gets too high?,What does a circuit breaker do when the current gets too high?
card-367-7j-current-electricity-why-are-house-lights-usually-wired-in,7J Current electricity,Self-test,7Jc,Why are house lights usually wired in parallel rather than series?,Explain are house lights usually wired in parallel rather than series?
card-368-7j-current-electricity-how-can-a-variable-resistor-control-a,7J Current electricity,Self-test,7Jd,How can a variable resistor control a lamp or motor?,Explain how a variable resistor control a lamp or motor?
card-369-7c-muscles-and-bones-in-the-two-panel-breathing-diagram-whic,7C Muscles and bones,Visual challenge,7Cc,"In the two-panel breathing diagram, which panel shows inhalation?","Look at the diagram. in the two-panel breathing diagram, which panel shows inhalation?"
card-370-7c-muscles-and-bones-in-the-two-panel-breathing-diagram-whic,7C Muscles and bones,Visual challenge,7Cc,"In the two-panel breathing diagram, which panel shows exhalation?","Look at the diagram. in the two-panel breathing diagram, which panel shows exhalation?"
card-371-7c-muscles-and-bones-in-the-two-panel-breathing-diagram-whic,7C Muscles and bones,Visual challenge,7Ca,"In the two-panel breathing diagram, which label shows the trachea (airway)?","Look at the diagram. in the two-panel breathing diagram, which label shows the trachea (airway)?"
card-372-7c-muscles-and-bones-in-the-two-panel-breathing-diagram-whic,7C Muscles and bones,Visual challenge,7Cd,"In the two-panel breathing diagram, which label shows the diaphragm?","Look at the diagram. in the two-panel breathing diagram, which label shows the diaphragm?"
card-373-7c-muscles-and-bones-in-the-double-circulation-diagram-which,7C Muscles and bones,Visual challenge,7Cb,"In the double-circulation diagram, which label shows the lungs?","Look at the diagram. in the double-circulation diagram, which label shows the lungs?"
card-374-7c-muscles-and-bones-in-the-double-circulation-diagram-which,7C Muscles and bones,Visual challenge,7Cb,"In the double-circulation diagram, which label shows blood flowing from the lungs back to the heart?","Look at the diagram. in the double-circulation diagram, which label shows blood flowing from the lungs back to the heart?"
card-375-7c-muscles-and-bones-in-the-double-circulation-diagram-which,7C Muscles and bones,Visual challenge,7Cb,"In the double-circulation diagram, which label shows the heart?","Look at the diagram. in the double-circulation diagram, which label shows the heart?"
card-376-7c-muscles-and-bones-in-the-double-circulation-diagram-which,7C Muscles and bones,Visual challenge,7Cb,"In the double-circulation diagram, which label shows blood flowing from the heart to the body?","Look at the diagram. in the double-circulation diagram, which label shows blood flowing from the heart to the body?"
card-377-7c-muscles-and-bones-in-the-double-circulation-diagram-which,7C Muscles and bones,Visual challenge,7Cb,"In the double-circulation diagram, which label shows blood returning from the body to the heart?","Look at the diagram. in the double-circulation diagram, which label shows blood returning from the body to the heart?"
card-378-7j-current-electricity-in-the-plug-safety-diagram-which-labe,7J Current electricity,Visual challenge,7Je,"In the plug-safety diagram, which label shows the earth wire connection?","Look at the diagram. in the plug-safety diagram, which label shows the earth wire connection?"
card-379-7j-current-electricity-in-the-plug-safety-diagram-which-labe,7J Current electricity,Visual challenge,7Je,"In the plug-safety diagram, which label shows the live wire connection?","Look at the diagram. in the plug-safety diagram, which label shows the live wire connection?"
