Unit,Type,Visual,Before front,After front,Before back,After back,Before choices,After choices,Before difficulty,After difficulty
7J Current electricity,Multiple choice,,What does a resistor do?,A resistor is added in series with a lamp. What is the most likely effect?,Increases resistance and reduces current.,"The current is reduced, so the lamp may become dimmer.",Increases resistance and reduces current. | Measures voltage. | Makes a solution neutral. | Carries blood to the heart.,"The current is reduced, so the lamp may become dimmer.|The current increases because there is another component.|The resistor stores all the current permanently.|The circuit turns from series into parallel.",4,4
7J Current electricity,Multiple choice,,What is a variable resistor?,A dimmer control changes the brightness of a lamp by changing resistance. Which component could do this?,A resistor whose resistance can be changed.,A variable resistor.,A resistor whose resistance can be changed. | A fixed wire that always melts. | A cell with two voltmeters. | A switch that cannot open.,A variable resistor.|A fixed cell.|A closed switch only.|An ammeter in parallel.,4,3
7J Current electricity,Multiple choice,,What is a series circuit?,Which description identifies a series circuit?,A circuit with one loop or path.,"There is one loop, so all components are on the same current path.",A circuit with one loop or path. | A circuit with branches. | A circuit with pH less than 7. | A circuit with no components.,"There is one loop, so all components are on the same current path.|There are separate branches for each component.|The circuit must contain a voltmeter.|Each component has its own cell.",3,3
7J Current electricity,Multiple choice,,What is a parallel circuit?,Which description identifies a parallel circuit?,A circuit with branches.,The circuit splits into branches and then joins again.,A circuit with branches. | A circuit with one loop only. | A circuit that cannot have switches. | A circuit that contains only a cell.,The circuit splits into branches and then joins again.|All components are placed on one loop only.|There is no complete path for current.|The circuit contains no switches.,3,3
7J Current electricity,Multiple choice,,What happens to current in a series circuit?,Two ammeters are placed at different points in one series loop. What should their readings show?,It is the same everywhere.,The same current at both points.,It is the same everywhere. | It is zero everywhere. | It only flows through voltmeters. | It doubles at every bulb.,The same current at both points.|Less current after each bulb.|More current after each bulb.|Zero current near the cell.,3,4
7J Current electricity,Multiple choice,,What is the current rule for a parallel circuit?,A parallel circuit has two branches. The branch currents are 0.2 A and 0.3 A. What is the total current from the cell?,Total current equals the sum of the branch currents.,0.5 A,Total current equals the sum of the branch currents. | Current is the same everywhere. | Current only flows in one branch. | Current is measured in volts.,0.5 A|0.3 A|0.2 A|0.1 A,3,4
7J Current electricity,Multiple choice,,What happens if one bulb breaks in a parallel circuit?,One bulb breaks in one branch of a parallel circuit. What usually happens to a bulb in another complete branch?,Other branches can still work.,It can stay lit because its branch is still complete.,Other branches can still work. | Every bulb must go out. | The circuit turns into an acid. | The voltage becomes pH 7.,It can stay lit because its branch is still complete.|It must go out because current is used up.|It becomes a cell for the broken branch.|It makes the other branch series.,3,4
7J Current electricity,Multiple choice,,What usually happens if you add more bulbs in series?,A second identical bulb is added in series with the first bulb. What usually happens to the brightness?,Bulbs get dimmer because resistance increases and current decreases.,Both bulbs are dimmer because total resistance increases and current decreases.,Bulbs get dimmer because resistance increases and current decreases. | Bulbs get brighter because resistance decreases. | Only one bulb can be switched on. | Current becomes pH 14.,Both bulbs are dimmer because total resistance increases and current decreases.|Both bulbs are brighter because the voltage is doubled.|Only the first bulb lights because it uses all the current.|The second bulb lights but the first one becomes a switch.,4,4
7J Current electricity,Multiple choice,,What condition gives the largest current?,Which circuit is likely to have the largest current?,High voltage and low resistance.,A high-voltage supply with a low-resistance path.,High voltage and low resistance. | Low voltage and high resistance. | High pH and low pH. | No cell and an open switch.,A high-voltage supply with a low-resistance path.|A low-voltage supply with a high-resistance path.|An open switch with a low-resistance lamp.|No cell but very short wires.,4,4
7J Current electricity,Multiple choice,,Which formula is Ohm’s law?,"A resistor has current I through it and voltage V across it. Which equation links voltage, current and resistance?",V = I × R.,V = I × R,V = I × R. | I = V × R × pH. | pressure = force / area. | acid + alkali → salt + water.,V = I × R|I = V × R|R = V × I|V = R ÷ I,2,4
7J Current electricity,Multiple choice,,What is an AND circuit?,A lamp should turn on only when two separate switches are both closed. Which switch arrangement is needed?,Two switches arranged so both must be closed for the component to turn on.,An AND circuit.,Two switches arranged so both must be closed for the component to turn on. | Two switches arranged so either switch can turn it on. | A circuit with no complete path. | A pH indicator circuit.,An AND circuit.|An OR circuit.|A short circuit.|A voltmeter branch.,2,3
7J Current electricity,Multiple choice,,What is an OR circuit?,A lamp should turn on when either of two switches is closed. Which switch arrangement is needed?,Two switches arranged so either switch can turn the component on.,An OR circuit.,Two switches arranged so either switch can turn the component on. | Two switches arranged so both must be closed. | A circuit with only resistors. | A circuit that measures pulse rate.,An OR circuit.|An AND circuit.|One open switch in series.|A resistor-only circuit.,2,3
7J Current electricity,Multiple choice,,What does a fuse do?,Too much current flows through a plug. What should the fuse do?,Melts and breaks the circuit if current is too high.,Melt and break the circuit before the cable overheats.,Melts and breaks the circuit if current is too high. | Increases pH. | Carries oxygen. | Measures voltage across a bulb.,Melt and break the circuit before the cable overheats.|Increase the current so the appliance works faster.|Measure the voltage across the appliance.|Turn the live wire into the neutral wire.,3,4
7J Current electricity,Multiple choice,,What colour is the earth wire in a UK plug?,"In a UK-style plug, which wire is green and yellow and is included for safety?",Green/yellow.,Earth wire.,Green/yellow. | Brown. | Blue. | Red litmus.,Earth wire.|Live wire.|Neutral wire.|Fuse wire.,2,3
7J Current electricity,Multiple choice,,Why are models useful when learning about electric circuits?,Why is a central-heating system a useful model for an electric circuit?,"Charges are too small to see, so models help us picture what is happening.","It helps picture flow around a loop, even though charges are too small to see directly.","Charges are too small to see, so models help us picture what is happening.|Models prove circuits have no limits.|Models replace all experiments.|Models make current become pH 7.","It helps picture flow around a loop, even though charges are too small to see directly.|It proves electricity is actually water in wires.|It removes the need to test real circuits.|It shows that charge disappears inside bulbs.",4,4
7J Current electricity,Multiple choice,,Which is a physical model?,Which example is a physical model rather than an abstract model?,A touchable model circuit made with pipes and a pump.,A touchable model circuit made with pipes and a pump.,A touchable model circuit made with pipes and a pump.|A circuit diagram in your mind.|The idea that voltage is a push.|A truth table written as logic only.,A touchable model circuit made with pipes and a pump.|The idea that voltage is like a push.|A truth table for switches.|A circuit diagram only drawn on paper.,4,4
7J Current electricity,Multiple choice,,Which is an abstract model?,Which example is an abstract model of a circuit?,A circuit diagram used to represent a real circuit.,A circuit diagram used to represent a real circuit.,A circuit diagram used to represent a real circuit.|A plastic skeleton model.|A working lamp circuit.|A cardboard model of a house.,"A circuit diagram used to represent a real circuit.|A working circuit made from cells, wires and bulbs.|A plastic model of a plug.|A metal wire used in an experiment.",4,4
7J Current electricity,Multiple choice,,AND truth table: switch A open and switch B closed. Will the lamp light?,AND circuit: switch A is open and switch B is closed. What happens to the lamp?,"No, because both switches must be closed.",The lamp stays off because both switches must be closed.,"No, because both switches must be closed.|Yes, because one switch is closed.|Yes, because B is closed.|The lamp becomes a voltmeter.",The lamp stays off because both switches must be closed.|The lamp lights because switch B is closed.|The lamp lights dimly because one switch is closed.|The lamp becomes brighter than normal.,4,4
7J Current electricity,Multiple choice,,AND truth table: switch A closed and switch B closed. Will the lamp light?,AND circuit: switch A is closed and switch B is closed. What happens to the lamp?,"Yes, because both switches are closed.",The lamp lights because the complete path is closed.,"Yes, because both switches are closed.|No, because one switch must be open.|No, because current is used up.|Only if the pH is 7.",The lamp lights because the complete path is closed.|The lamp stays off because an AND circuit never lights.|The current stops at the second switch.|Only one switch may be closed in an AND circuit.,4,3
7J Current electricity,Multiple choice,,OR truth table: switch A open and switch B closed. Will the lamp light?,OR circuit: switch A is open and switch B is closed. What happens to the lamp?,"Yes, because either branch can complete the circuit.",The lamp lights because one complete branch is enough.,"Yes, because either branch can complete the circuit.|No, because both switches must be closed.|No, because B is open.|Only if an ammeter is parallel.",The lamp lights because one complete branch is enough.|The lamp stays off because both switches must be closed.|The lamp lights only if switch A is closed instead.|The cell voltage becomes zero.,4,4
7J Current electricity,Multiple choice,,OR truth table: switch A open and switch B open. Will the lamp light?,OR circuit: switch A is open and switch B is open. What happens to the lamp?,"No, because no branch is complete.",The lamp stays off because neither branch is complete.,"No, because no branch is complete.|Yes, because there are two branches.|Yes, because current splits.|The lamp is always on.",The lamp stays off because neither branch is complete.|The lamp lights because there are two branches.|The lamp flashes because current swaps branches.|The lamp lights if the wires are metal.,4,3
7J Current electricity,Multiple choice,,"In a series circuit with two identical lamps, how is the supply voltage shared?",Two identical lamps are connected in series across one cell. Which statement about voltage is best?,It is shared between the lamps.,The supply voltage is shared between the two lamps.,It is shared between the lamps.|Each lamp gets twice the supply voltage.|Voltage is used up before the first lamp.|Voltage only exists in wires.,"The supply voltage is shared between the two lamps.|Each lamp gets the full supply voltage independently.|The first lamp uses all the voltage and the second gets none.|Voltage only exists in the wires, not across lamps.",3,4
7J Current electricity,Multiple choice,,"In a parallel circuit, what voltage do identical branches connected across the same cell get?",Two identical lamps are connected in parallel across the same cell. Which statement about voltage is best?,The same voltage across each branch.,Each branch gets the same supply voltage.,The same voltage across each branch.|Zero voltage in every branch.|Half the voltage only in the top branch.|Voltage becomes current.,Each branch gets the same supply voltage.|The top branch gets all the voltage.|The voltage is split equally between the branches.|The voltage becomes current in each branch.,3,4
7J Current electricity,Multiple choice,,Which dangers can electricity cause if not used properly?,Which set lists realistic hazards from unsafe electricity use?,"fires, burns and shocks","Electric shock, burns and fire.","fires, burns and shocks|only sour taste|only stronger bones|only neutralisation","Electric shock, burns and fire.|High current, overheating and electric shock.|Loose cable grip, damaged insulation and wet hands.|Correct fuse, insulated wire and switched-off supply.",2,4
7J Current electricity,Multiple choice,,Why should you not use electrical equipment with wet hands?,Why does using electrical equipment with wet hands increase risk?,"Water can help current pass through you, increasing shock risk.","Water can lower the resistance of the path through your body, so current may pass more easily.","Water can help current pass through you, increasing shock risk.|Water makes wires insulating.|Wet hands reduce voltage to zero.|Wet hands make a circuit parallel.","Water can lower the resistance of the path through your body, so current may pass more easily.|Water always turns the circuit off before current flows.|Wet skin makes voltage disappear.|Water changes live wire into earth wire.",3,4
7J Current electricity,Multiple choice,,Why should sockets not be overloaded?,Several high-current appliances are connected to one socket. What is the main danger?,Too much current can overheat wires and cause a fire.,Too much current can overheat the wires and start a fire.,Too much current can overheat wires and cause a fire.|It makes the pH too high.|It makes the circuit diagram abstract.|It makes bulbs become acids.,Too much current can overheat the wires and start a fire.|The voltage becomes shared equally between people.|The neutral wire turns into an insulator.|The appliance becomes a parallel model.,3,4
7J Current electricity,Multiple choice,,What should you do before changing components in a school circuit?,"Before changing a bulb or resistor in a school circuit, what should you do first?",Switch off the power supply.,Switch off the power supply.,Switch off the power supply.|Add water to the wires.|Use the highest voltage setting first.|Hold both terminals with wet hands.,Switch off the power supply.|Increase the voltage to test it faster.|Hold both terminals to check current.|Remove the insulating cover from the leads.,4,3
7J Current electricity,Multiple choice,,Why are cells safer than mains electricity for school circuits and toys?,Why are cells usually used for school circuit experiments instead of mains electricity?,Cells usually provide a much lower voltage.,"Cells provide a much lower voltage, so the risk is lower.",Cells usually provide a much lower voltage.|Cells are always pH 7.|Cells contain no energy.|Cells make circuits incomplete.,"Cells provide a much lower voltage, so the risk is lower.|Cells have no electrical energy.|Cells cannot produce current.|Mains electricity is only dangerous in series circuits.",3,3
7J Current electricity,Multiple choice,,What does a fuse do if the current gets too high?,A fault causes a very large current. What happens to the fuse?,It melts and breaks the circuit.,The fuse wire melts and opens the circuit.,It melts and breaks the circuit.|It makes current larger.|It turns blue litmus red.|It measures voltage.,The fuse wire melts and opens the circuit.|The fuse wire gets thicker and carries more current.|The fuse measures voltage across the appliance.|The fuse changes live wire into neutral wire.,3,4
7J Current electricity,Multiple choice,,What does a circuit breaker do if current gets too high?,How is a circuit breaker similar to a fuse?,It cuts off the current.,It cuts off the current when the current is too large.,It cuts off the current.|It makes a salt.|It pumps blood.|It measures pH.,It cuts off the current when the current is too large.|It increases current to protect the appliance.|It measures resistance in the earth wire.|It turns series circuits into parallel circuits.,3,4
7J Current electricity,Multiple choice,,"Which wire colours are used for live, neutral and earth in UK-style plugs?",Which row gives the correct UK-style plug wire colours?,"live brown, neutral blue, earth green/yellow","Live brown, neutral blue, earth green/yellow.","live brown, neutral blue, earth green/yellow|live blue, neutral brown, earth red|live green/yellow, neutral brown, earth blue|all wires are black","Live brown, neutral blue, earth green/yellow.|Live blue, neutral brown, earth green/yellow.|Live green/yellow, neutral blue, earth brown.|Live red, neutral black, earth blue.",2,4
7J Current electricity,Multiple choice,,Which wire has higher resistance if the material and length are the same?,Two wires are made from the same material and have the same length. Which wire has higher resistance?,a thin wire,The thinner wire.,a thin wire|a thick wire|both always have zero resistance|the wire with a pH meter,The thinner wire.|The thicker wire.|They must both have zero resistance.|The wire connected to the voltmeter only.,4,4
7J Current electricity,Multiple choice,,"What happens to resistance when wire length increases, if material and thickness stay the same?","A wire is made longer, but the material and thickness stay the same. What happens to resistance?",resistance increases,Resistance increases.,resistance increases|resistance decreases to zero|current becomes voltage|pH becomes neutral,Resistance increases.|Resistance decreases to zero.|Current becomes the unit volt.|The wire becomes a cell.,4,4
7J Current electricity,Multiple choice,,What can affect the resistance of a wire?,Which set of factors can affect the resistance of a wire?,"thickness, length and material","Length, thickness and material.","thickness, length and material|only colour|only smell|only whether it is a medicine","Length, thickness and material.|Colour, smell and shape of the plug.|Only the number of switches.|Only whether the wire is in series.",4,4
7J Current electricity,Multiple choice,circuit-dual-ammeters,Look at the circuit diagram. One ammeter reads 3 A. What is the reading on the other ammeter?,"Look at the series circuit. One ammeter reads 3 A. What should the other ammeter read, and why?",3 A,3 A,1 A|2 A|3 A|4 A,3 A|1 A because three bulbs share the current|1.5 A because there are two ammeters|0 A because current is used up by the bulbs,3,4
7J Current electricity,Multiple choice,circuit-xyz-parallel,"Look at circuits X, Y and Z. Which are parallel circuits?","Look at circuits X, Y and Z. Which circuits have more than one path for current?",X and Y only,X and Y only,X and Y only|X and Z only|Y and Z only|all of them,X and Y only|X and Z only|Y and Z only|all of them,4,4
7J Current electricity,Multiple choice,circuit-pack-four,Look at the four circuits A–D. Which are parallel circuits?,Look at circuits A–D. Which circuits contain branches rather than one single loop?,"A, C and D","A, C and D","A and B only|A, C and D|B and C only|C and D only","A, C and D|A and B only|B and C only|B only",4,4
7J Current electricity,Self-test,,How do you connect an ammeter and a voltmeter?,Explain the different connection rules for an ammeter and a voltmeter.,Ammeter in series; voltmeter in parallel across the component.,An ammeter is connected in series so the current flows through it. A voltmeter is connected in parallel across the component to compare the two sides.,,,2,4
7J Current electricity,Self-test,,What happens to bulbs in series if you add more bulbs?,Explain why adding more bulbs in series usually makes each bulb dimmer.,They get dimmer because resistance increases and current becomes smaller.,"Adding bulbs in series increases total resistance, so the current gets smaller. Smaller current means the bulbs are dimmer.",,,4,4
7J Current electricity,Self-test,,What happens to bulbs in parallel if one bulb breaks?,Explain why a bulb in another branch can stay on when one bulb breaks in a parallel circuit.,Other branches can still work.,"Each branch has its own complete path. If one branch breaks, another branch can still be connected across the cell.",,,3,4
7J Current electricity,Self-test,,What circuit condition gives the largest current?,Use the ideas of voltage and resistance to describe the circuit condition that gives the largest current.,High voltage and low resistance.,"Largest current is produced by high voltage and low resistance, as long as the circuit is complete.",,,4,4
7J Current electricity,Visual challenge,symbol-cell,Which circuit symbol is shown?,This symbol has one long line and one short line. What component does it represent?,Cell,Cell,Cell|Battery|Lamp / bulb|Ammeter,Cell|Battery|Open switch|Resistor,3,3
7J Current electricity,Visual challenge,symbol-battery,Which circuit symbol is shown?,This symbol shows more than one cell joined together. What does it represent?,Battery,Battery,Battery|Cell|Voltmeter|Resistor,Battery|Single cell|Voltmeter|Closed switch,3,3
7J Current electricity,Visual challenge,symbol-lamp,Which circuit symbol is shown?,This symbol has a circle with a cross inside it. What component does it represent?,Lamp / bulb,Lamp / bulb,Lamp / bulb|Motor|Fuse|Switch,Lamp / bulb|Motor|Resistor|Ammeter,3,3
7J Current electricity,Visual challenge,symbol-switchOpen,Which circuit symbol is shown?,This switch symbol shows a gap. What does it represent?,Open switch,Open switch,Open switch|Closed switch|Cell|Ammeter,Open switch|Closed switch|Cell|Fuse,3,3
7J Current electricity,Visual challenge,symbol-switchClosed,Which circuit symbol is shown?,This switch symbol has no gap between the contacts. What does it represent?,Closed switch,Closed switch,Closed switch|Open switch|Voltmeter|Resistor,Closed switch|Open switch|Voltmeter|Variable resistor,3,3
7J Current electricity,Visual challenge,symbol-resistor,Which circuit symbol is shown?,This rectangular component symbol makes current more difficult to flow. What is it?,Resistor,Resistor,Resistor|Lamp / bulb|Battery|Ammeter,Resistor|Lamp / bulb|Battery|Ammeter,3,4
7J Current electricity,Visual challenge,symbol-ammeter,Which circuit symbol is shown?,This meter has the letter A. How should this component be used?,Ammeter,Ammeter,Ammeter|Voltmeter|Motor|Cell,Ammeter|Voltmeter|Motor|Cell,5,4
7J Current electricity,Visual challenge,symbol-voltmeter,Which circuit symbol is shown?,This meter has the letter V. What quantity does it measure?,Voltmeter,Voltmeter,Voltmeter|Ammeter|Battery|Switch,Voltmeter|Ammeter|Battery|Switch,5,4
7J Current electricity,Visual challenge,symbol-motor,Which circuit symbol is shown?,This symbol has the letter M inside a circle. What component does it represent?,Motor,Motor,Motor|Lamp / bulb|Resistor|Voltmeter,Motor|Lamp / bulb|Resistor|Voltmeter,3,3
7J Current electricity,Visual challenge,circuit-series,"In this series circuit, what happens if bulb A breaks?","In this series circuit, bulb A breaks. Predict what happens to bulb B and explain why.",Both bulbs go out.,Bulb B goes out because the single loop is broken and no current can flow anywhere in the circuit.,Both bulbs go out.|Only bulb A goes out.|Only bulb B gets brighter.|The battery becomes neutral.,Bulb B goes out because the single loop is broken and no current can flow anywhere in the circuit.|Bulb B stays on because it has its own branch.|Bulb B gets brighter because it receives more voltage.|Only bulb A goes out because current can go around it.,4,4
7J Current electricity,Visual challenge,circuit-parallel,"In this parallel circuit, what happens if bulb A breaks?","In this parallel circuit, bulb A breaks. Predict what happens to bulb B and explain why.",Bulb B can stay on.,Bulb B can stay on because it is in a different complete branch.,Bulb B can stay on.|Both bulbs must go out.|Current stops everywhere.|The voltage becomes zero.,Bulb B can stay on because it is in a different complete branch.|Bulb B must go out because current is used up in bulb A.|Bulb B gets no voltage because bulb A is broken.|The whole circuit becomes a series circuit.,4,4
7J Current electricity,Visual challenge,circuit-ammeter-series,Why is the ammeter labelled A placed like this?,The ammeter labelled A is in the main loop. Why is this the correct position for measuring current?,"It is in series, so it measures the current through the circuit.","It is in series, so the same current that passes through the lamp also passes through the ammeter.","It is in series, so it measures the current through the circuit.|It is in parallel, so it measures voltage.|It is used to test pH.|It makes the bulb brighter.","It is in series, so the same current that passes through the lamp also passes through the ammeter.|It is in parallel, so it measures voltage across the lamp.|It is across the cell, so it measures resistance.|It is outside the loop, so it does not affect the circuit.",5,5
7J Current electricity,Visual challenge,circuit-voltmeter-parallel,Why is the voltmeter labelled A connected like this?,The voltmeter labelled A is connected across the lamp. Why is this the correct position?,"It is in parallel across the lamp, so it measures voltage across the lamp.","It is in parallel across the lamp, so it measures the voltage across that lamp.","It is in parallel across the lamp, so it measures voltage across the lamp.|It is in series to measure current.|It replaces the battery.|It measures pH.","It is in parallel across the lamp, so it measures the voltage across that lamp.|It is in series, so it measures current through the lamp.|It replaces the cell and supplies the voltage.|It increases the resistance so the lamp is safe.",5,5
7J Current electricity,Spot the mistake,circuit-voltmeter-mistake,What is wrong with this circuit?,"The diagram shows a voltmeter connected in the main loop. What is wrong, and how should it be connected?",The voltmeter is connected in series instead of parallel.,The voltmeter is connected in series; it should be connected in parallel across the component.,The voltmeter is connected in series instead of parallel.|The lamp is missing a filament.|The battery is made from two bulbs.|The switch is closed.,The voltmeter is connected in series; it should be connected in parallel across the component.|The lamp symbol is upside down; it should be replaced by a switch.|The cell has no voltage; it should be replaced by an ammeter.|The circuit is parallel; all voltmeters must be in series.,5,5
7J Current electricity,Visual challenge,circuit-and-switches,"For the AND switch circuit, what must happen for the lamp to light?","In the AND switch circuit, switch A closes but switch B stays open. What happens?",Both switches A and B must be closed.,The lamp stays off because both switches must be closed to complete the circuit.,Both switches A and B must be closed.|Either A or B can be closed.|Only switch A matters.|The pH must be 7.,The lamp stays off because both switches must be closed to complete the circuit.|The lamp lights because one switch is closed.|The lamp lights because the switches are in parallel.|The lamp gets dimmer but stays on.,3,4
7J Current electricity,Visual challenge,circuit-or-switches,"For the OR switch circuit, what must happen for the lamp to light?","In the OR switch circuit, switch A closes and switch B stays open. What happens?",Either switch A or switch B can be closed.,The lamp lights because either switch can complete a branch.,Either switch A or switch B can be closed.|Both switches must always be open.|Both switches must be closed together.|The bulb must be in acid.,The lamp lights because either switch can complete a branch.|The lamp stays off because both switches must be closed.|The lamp stays off because switch B controls all branches.|The lamp lights only if both branches are broken.,3,4
7J Current electricity,Visual challenge,circuit-open-switch,The switch labelled A is open. What does this do?,The switch labelled A is open. Explain why the lamp is not lit.,It breaks the circuit so the lamp is off.,"The open switch leaves a gap, so the circuit is incomplete and current cannot flow.",It breaks the circuit so the lamp is off.|It makes current bigger.|It changes acid to alkali.|It measures voltage.,"The open switch leaves a gap, so the circuit is incomplete and current cannot flow.|The open switch lowers resistance to zero.|The cell has no energy when a switch is open.|The current jumps across the gap only at high voltage.",3,4
7J Current electricity,Visual challenge,circuit-current-arrows,What do the arrows labelled A show?,The arrows labelled A show current direction. Which statement is the best interpretation?,The direction of conventional current around the circuit.,They show the direction of conventional current around the complete circuit.,The direction of conventional current around the circuit.|The direction of breathing.|The pH scale direction.|The movement of cartilage.,They show the direction of conventional current around the complete circuit.|They show the direction in which voltage is used up.|They show resistance moving from the bulb to the cell.|They show charges leaving the circuit permanently.,3,4
7J Current electricity,Spot the mistake,circuit-short-mistake,What is wrong with this circuit?,The diagram contains a short-circuit path. What is wrong with the connection?,There is a short path that bypasses the lamp.,"The extra wire bypasses the lamp, so most current takes the easier path instead of passing through the lamp.",There is a short path that bypasses the lamp.|The lamp is in parallel correctly.|The voltmeter is measuring pH.|The switch is open.,"The extra wire bypasses the lamp, so most current takes the easier path instead of passing through the lamp.|The lamp is correctly placed in parallel with a switch.|The cell has been connected backwards.|The ammeter has been connected across the lamp.",5,5
7J Current electricity,Visual challenge,circuit-comparison,"In the circuit comparison diagram, which label shows the series circuit?","In the comparison diagram, which circuit has only one loop for current?",A,A,A|B,A|B,4,4
7J Current electricity,Visual challenge,circuit-comparison,"In the circuit comparison diagram, which label shows the parallel circuit?","In the comparison diagram, which circuit has two branches for current?",B,B,B|A,B|A,4,4
7J Current electricity,Visual challenge,circuit-comparison,"In the circuit comparison diagram, which label shows the circuit where one bulb can stay on if the other breaks?","In the comparison diagram, which circuit could keep one bulb on if the other bulb breaks?",B,B,B|A,B|A,5,5
7J Current electricity,Visual challenge,circuit-comparison,"In the circuit comparison diagram, which label shows the circuit with one loop?","Which circuit is series, and what feature shows this?",A,A,A|B,A|B,4,4
7J Current electricity,Visual challenge,circuit-comparison,"In the circuit comparison diagram, which label shows the circuit with two branches?","Which circuit is parallel, and what feature shows this?",B,B,B|A,B|A,4,4
7J Current electricity,Visual challenge,circuit-series,"In the series circuit diagram, how many paths does current have?","In the series circuit diagram, why would both bulbs go out if the wire broke at one point?",One path only.,"There is only one path, so one break stops current everywhere.",One path only.|Two separate paths.|Three branches.|No complete path.,"There is only one path, so one break stops current everywhere.|There are two branches, so current can avoid the break.|The cell can push current through air gaps.|Only the bulb nearest the break is affected.",4,4
7J Current electricity,Visual challenge,circuit-parallel,"In the parallel circuit diagram, how many branches carry the two lamps?","In the parallel circuit diagram, why can the two lamps work independently?",Two branches.,They are on separate branches connected across the cell.,Two branches.|One branch only.|No branches.|Four branches.,They are on separate branches connected across the cell.|They are both on one loop with no branch.|The current is used up in the first branch.|The lamps are not part of complete circuits.,4,4
