Id,Unit,Pack section,Old front,New front,Old difficulty,New difficulty,Old choices,New choices
card-144-7c-muscles-and-bones-what-connects-bone-to-bone,7C Muscles and bones,7Cc,What is the name of the tissue that joins bone to bone?,A tissue holds two bones together at a joint. What is it?,2,3,Ligament. | Tendon. | Capillary. | Plasma.,Ligament. | Tendon. | Cartilage. | Capillary.
card-145-7c-muscles-and-bones-what-connects-muscle-to-bone,7C Muscles and bones,7Cd,What is the name of the tissue that joins muscle to bone?,A tissue joins a muscle to a bone so that the bone can be pulled. What is it?,2,3,Tendon. | Ligament. | Artery. | Cartilage.,Tendon. | Ligament. | Cartilage. | Vein.
card-146-7c-muscles-and-bones-why-are-antagonistic-muscle-pairs-neede,7C Muscles and bones,7Cd,Which statement explains why antagonistic muscle pairs are needed?,Why must many muscles work as antagonistic pairs?,3,4,"Muscles pull but cannot push, so another muscle pulls the bone back. | Bones can only move when they make blood cells. | Muscles only work when acid is neutralised. | Blood flows only in one direction through them.","A muscle can pull when it contracts but cannot push the bone back. | A muscle can push but cannot pull, so the second muscle pulls. | A muscle can only work if a tendon changes into cartilage. | A muscle can move only when a capillary contracts."
card-147-7c-muscles-and-bones-when-the-biceps-contracts-what-usually-,7C Muscles and bones,7Cd,What happens at the elbow when the biceps contracts?,"At the elbow, what happens when the biceps contracts and the triceps relaxes?",2,3,The arm bends. | The arm straightens. | The ribs expand. | The skull moves.,The lower arm bends upwards. | The lower arm straightens. | The ribs move downwards. | The heart chambers get smaller.
card-148-7c-muscles-and-bones-when-the-triceps-contracts-what-usually,7C Muscles and bones,7Cd,What happens at the elbow when the triceps contracts?,"At the elbow, what happens when the triceps contracts and the biceps relaxes?",2,3,The arm straightens. | The arm bends. | The diaphragm moves down. | Blood becomes oxygen.,The lower arm straightens. | The lower arm bends upwards. | The diaphragm moves down. | The skull protects the brain.
card-149-7c-muscles-and-bones-what-is-the-nervous-system-made-from,7C Muscles and bones,7Cd,Which list gives the main parts of the nervous system?,Which list gives the main parts involved in the nervous system response pathway?,2,3,"Brain, spinal cord and nerves. | Heart, blood and blood vessels. | Bones, joints and cartilage. | Acids, alkalis and indicators.","Brain, spinal cord and nerves. | Heart, arteries and veins. | Bones, cartilage and ligaments. | Lungs, diaphragm and ribs only."
card-150-7c-muscles-and-bones-what-is-an-impulse-in-the-nervous-syste,7C Muscles and bones,7Cd,Which statement describes an impulse in the nervous system?,"In the nervous system, what is an impulse?",2,3,An electrical signal. | A type of bone. | A waste gas. | A liquid part of blood.,An electrical signal carried by nerve cells. | A pulse of blood in an artery. | A gas moving across an alveolus. | A muscle that joins bone to bone.
card-151-7c-muscles-and-bones-what-is-a-stimulant,7C Muscles and bones,7Ce,Which statement describes a stimulant?,Which statement best describes a stimulant drug?,2,4,A drug that speeds up nervous system messages. | A drug that slows nervous system messages. | A tissue connecting muscle to bone. | A solution with pH less than 7.,It speeds up activity in the nervous system. | It always slows reaction time by reducing nerve messages. | It is any medicine that cures infection. | It is any substance that cannot affect the body.
card-152-7c-muscles-and-bones-what-is-a-depressant,7C Muscles and bones,7Ce,Which statement describes a depressant?,Which statement best describes a depressant drug?,2,4,A drug that slows nervous system messages. | A drug that speeds up nervous system messages. | A joint that moves in one direction. | A tiny blood vessel.,"It slows down activity in the nervous system. | It speeds up all nerve impulses. | It only affects the skeleton, not the nervous system. | It is any legal medicine."
card-153-7c-muscles-and-bones-what-is-reaction-time,7C Muscles and bones,7Cd,Which statement describes reaction time?,A driver takes longer to brake after drinking alcohol. Which explanation fits the science?,2,4,The time taken to respond to something. | The amount of oxygen carried by blood. | The number of bones in the skeleton. | The pH of a solution.,Reaction time increased because nervous-system messages were slowed. | Reaction time decreased because impulses travelled faster. | Pulse rate was measured in newtons instead of beats per minute. | The arm muscles could push but not pull.
card-154-7c-muscles-and-bones-which-word-equation-is-correct-for-resp,7C Muscles and bones,7Ca,Complete the word equation for respiration.,Which word equation correctly represents aerobic respiration in humans?,2,4,glucose + oxygen → carbon dioxide + water + energy released | carbon dioxide + water → glucose + oxygen | acid + alkali → salt + water | voltage = current × resistance,glucose + oxygen → carbon dioxide + water + energy released | carbon dioxide + water → glucose + oxygen + energy absorbed | oxygen + water → glucose + carbon dioxide + salt | glucose + carbon dioxide → oxygen + water + energy released
card-155-7c-muscles-and-bones-what-is-pulse-rate,7C Muscles and bones,7Cb,What does pulse rate measure?,Sandy counts 25 pulse beats in 20 seconds. What is her pulse rate in beats per minute?,2,4,Number of heart beats per minute. | Number of breaths per minute. | Amount of oxygen per red blood cell. | Pressure divided by area.,75 beats per minute. | 25 beats per minute. | 45 beats per minute. | 500 beats per minute.
card-156-7c-muscles-and-bones-what-does-plasma-do-in-blood,7C Muscles and bones,7Cd,What is one function of plasma in the blood?,Which function belongs mainly to plasma in the blood?,2,4,Carries dissolved substances. | Carries bones around the body. | Connects muscle to bone. | Turns blue litmus red.,Carrying dissolved substances such as carbon dioxide and nutrients. | Carrying most oxygen using haemoglobin. | Making blood clot at a cut. | Destroying pathogens as the main defence cells.
card-157-7c-muscles-and-bones-why-do-muscles-need-oxygen-and-nutrient,7C Muscles and bones,7Cd,Explain why muscles need oxygen and nutrients.,Why do active muscles need a good supply of oxygen and nutrients?,3,4,For respiration to release energy for contraction. | To make indicators change colour. | To increase the resistance of wires. | To turn arteries into veins.,They are used in respiration to release energy for contraction. | They are used to turn tendons into ligaments. | They are used to make blood flow backwards through arteries. | They are used to reduce the pH of the muscle.
card-158-7f-acids-and-alkalis-what-is-a-hazard,7F Acids and alkalis,7Fd,Which statement best describes a hazard?,Which organ is the main site where oxygen enters the blood and carbon dioxide leaves it?,2,3,Something that could cause harm. | The chance harm will happen. | A solution with pH 7. | A salt made by neutralisation.,Lungs. | Stomach. | Skull. | Femur.
card-159-7f-acids-and-alkalis-what-is-risk,7F Acids and alkalis,7Fc,Which statement best describes risk?,What happens to oxygen during gas exchange at the lung surface?,2,4,The chance that a hazard will actually cause harm. | Something that always causes harm. | A dye that changes colour. | A substance with pH more than 7.,It diffuses from the air spaces into the blood. | It diffuses from the blood into the air spaces. | It is made by the ribs when they move. | It changes into plasma before reaching the blood.
card-160-7f-acids-and-alkalis-what-does-corrosive-mean,7F Acids and alkalis,7Fc,What does the corrosive hazard warning mean?,What happens to carbon dioxide during gas exchange at the lung surface?,2,4,Can damage or destroy materials and living tissue. | Catches fire easily. | Cannot dissolve in water. | Shows pH using colours.,It diffuses from the blood into the air spaces to be breathed out. | It diffuses from the air spaces into the blood. | It is changed directly into oxygen by the lungs. | It is stored in bones until exercise starts.
card-161-7f-acids-and-alkalis-what-does-flammable-mean,7F Acids and alkalis,7Fa,Which statement describes what flammable mean?,Why does one loop of double circulation carry blood to the lungs?,2,4,Catches fire easily. | Poisonous. | Damages tissue. | Neither acid nor alkali.,So blood can pick up oxygen and lose carbon dioxide. | So blood can digest food before reaching the stomach. | So red blood cells can turn into white blood cells. | So bones can make the heart contract.
card-162-7f-acids-and-alkalis-what-is-an-acid,7F Acids and alkalis,7Fc,Which statement best describes an acid?,What happens when the heart muscle contracts around a chamber full of blood?,2,4,A solution with pH less than 7. | A solution with pH more than 7. | A neutral solution only. | A substance that cannot dissolve.,The chamber volume decreases and blood is forced out. | The chamber volume increases and blood is pulled out. | The chamber fills with air and becomes a lung. | The chamber wall becomes thinner so nutrients escape.
card-163-7f-acids-and-alkalis-what-is-an-alkali,7F Acids and alkalis,7Fc,Which statement best describes an alkali?,Which adaptation makes capillaries suitable for exchange with body cells?,2,4,A solution with pH more than 7. | A solution with pH less than 7. | A substance that always catches fire. | A tiny blood vessel.,Very thin walls so substances can move in and out quickly. | Very thick walls so nothing can leave the blood. | Valves to stop air entering the lungs. | Tendons to attach them to muscles.
card-164-7f-acids-and-alkalis-what-ph-is-neutral,7F Acids and alkalis,7Fc,What is the pH of a neutral solution?,Which statement correctly identifies arteries?,2,4,pH 7. | pH 1. | pH 14. | Any pH below 7.,"They carry blood away from the heart, usually under high pressure. | They carry blood back to the heart and always have very thin walls. | They are one-cell-thick vessels for exchange. | They join muscles to bones at joints."
card-165-7f-acids-and-alkalis-what-colour-does-blue-litmus-turn-in-ac,7F Acids and alkalis,7Fc,What colour is litmus in an acid?,Which statement correctly identifies veins?,2,4,Red. | Blue. | Green. | Purple.,They carry blood back towards the heart and often contain valves. | They carry blood away from the heart at high pressure. | They are microscopic vessels used mainly for exchange. | They are tissues that connect bone to bone.
card-166-7f-acids-and-alkalis-what-colour-does-red-litmus-turn-in-alk,7F Acids and alkalis,7Fc,What colour does red litmus turn in alkali?,A student records hand-grip force in kilograms. Which correction is best?,2,3,Blue. | Red. | Orange. | Yellow.,Force should be recorded in newtons. | Force should be recorded in volts. | Force should be recorded in beats per minute. | Force has no units in science.
card-167-7f-acids-and-alkalis-what-is-universal-indicator-used-for,7F Acids and alkalis,7Fc,Which statement best describes universal indicator used for?,Which statement best explains why the biceps and triceps are an antagonistic pair?,2,4,Showing a range of pH values using different colours. | Measuring current in a circuit. | Connecting muscle to bone. | Making a circuit safer.,One muscle contracts to move the arm one way; the other contracts to move it back. | Both muscles contract at the same time to push the bone both ways. | One muscle carries oxygen while the other carries carbon dioxide. | Both muscles protect the heart and lungs.
card-168-7f-acids-and-alkalis-what-is-neutralisation,7F Acids and alkalis,7Fd,Which statement best describes neutralisation?,Which question could be answered using a fair scientific investigation?,3,4,An acid reacts with an alkali or base to make salt and water. | A wire melts when current is too high. | Air moves into and out of the lungs. | A muscle gets shorter and thicker.,Does caffeine change reaction time? | Should energy drinks be banned for children? | Is football a better sport than swimming? | Is it fair to test medicines on animals?
card-169-7f-acids-and-alkalis-what-are-the-products-of-acid-alkali,7F Acids and alkalis,7Fd,What are the products of acid + alkali?,Which question is ethical rather than mainly scientific?,2,4,Salt and water. | Glucose and oxygen. | Carbon dioxide and energy. | Current and voltage.,Is it acceptable to test a new medicine on animals? | How many beats per minute is the pulse after exercise? | Does caffeine affect reaction time? | Which vessel carries blood away from the heart?
card-170-7f-acids-and-alkalis-what-is-a-base,7F Acids and alkalis,7Fd,Which statement best describes a base?,Which list contains only stimulant examples from this topic?,2,4,A substance that neutralises an acid to form salt and water. | A gas needed for respiration. | A circuit with one loop. | A blood vessel that carries blood away.,"caffeine, nicotine and cocaine | alcohol, heroin and solvents | paracetamol, penicillin and ibuprofen | oxygen, glucose and plasma"
card-171-7f-acids-and-alkalis-what-does-soluble-mean,7F Acids and alkalis,7Fc,Which statement describes what soluble mean?,Which list contains only depressant examples from this topic?,2,4,Able to dissolve in a liquid. | Unable to dissolve in a liquid. | Can destroy living tissue. | Has a pH less than 7.,"alcohol, heroin and solvents | caffeine, nicotine and cocaine | paracetamol, penicillin and ibuprofen | oxygen, carbon dioxide and glucose"
card-172-7f-acids-and-alkalis-what-does-insoluble-mean,7F Acids and alkalis,7Fb,Which statement describes what insoluble mean?,Which pair are medicines rather than recreational stimulants or depressants?,2,3,Unable to dissolve in a liquid. | Able to dissolve in a liquid. | Made less concentrated by water. | Turns red litmus blue.,paracetamol and penicillin | caffeine and cocaine | alcohol and heroin | nicotine and ecstasy
card-173-7f-acids-and-alkalis-what-does-dilute-mean,7F Acids and alkalis,7Fb,Which statement describes what dilute mean?,Why can depressant drugs increase the risk of accidents?,3,4,Made less concentrated by adding water. | Contains a lot of solute in a small solvent volume. | Cannot dissolve. | Catches fire easily.,They can slow impulses and increase reaction time. | They make impulses travel faster and reduce thinking time. | They turn arteries into veins during exercise. | They make cartilage thicker at joints.
card-174-7f-acids-and-alkalis-what-does-concentrated-mean,7F Acids and alkalis,7Fb,Which statement describes what concentrated mean?,A bottle has a warning symbol because it could damage skin. Which word best describes the danger source?,2,3,Contains a large amount of dissolved substance in a small amount of solvent. | Made less concentrated by adding water. | Neither acid nor alkali. | A dye that always stays the same colour.,Hazard. | Risk. | Neutralisation. | Indicator.
card-175-7f-acids-and-alkalis-what-are-reactants,7F Acids and alkalis,7Fb,What are reactants?,A class uses dilute acid. The teacher reduces the chance of harm by using goggles and small volumes. What is being reduced?,2,4,Starting substances in a chemical reaction. | New substances made by a reaction. | Tiny moving charges. | The liquid part of blood.,Risk. | Hazard. | Product. | Base.
card-176-7f-acids-and-alkalis-what-are-products,7F Acids and alkalis,7Fb,What are products?,Which description matches the corrosive hazard warning?,2,3,New substances made in a chemical reaction. | Starting substances in a reaction. | Materials that let current flow. | Bones that protect the brain.,It can damage living tissue and some materials. | It catches fire easily near a flame. | It is safe to touch because it is neutral. | It only changes colour with indicators.
card-177-7f-acids-and-alkalis-what-does-hydrochloric-acid-make-in-sal,7F Acids and alkalis,7Fe,Which statement describes what hydrochloric acid make in salt names?,Which instruction is most important when using a flammable liquid near a Bunsen burner?,2,4,Chloride salts. | Nitrate salts. | Sulfate salts. | Carbonate salts.,Keep it away from flames because it catches fire easily. | Add universal indicator before heating it. | Use a voltmeter to check whether it is safe. | Neutralise it with distilled water only.
card-178-7f-acids-and-alkalis-what-does-nitric-acid-make-in-salt-name,7F Acids and alkalis,7Fe,Which statement describes what nitric acid make in salt names?,A solution turns blue litmus red and has pH 3. Which description is correct?,2,3,Nitrate salts. | Chloride salts. | Sulfate salts. | Oxide salts.,It is acidic. | It is alkaline. | It is neutral. | It must be pure water.
card-179-7f-acids-and-alkalis-what-does-sulfuric-acid-make-in-salt-na,7F Acids and alkalis,7Fe,Which statement describes what sulfuric acid make in salt names?,A solution has pH 10 and turns red litmus blue. Which description is correct?,2,3,Sulfate salts. | Chloride salts. | Nitrate salts. | Hydroxide salts.,It is alkaline. | It is acidic. | It is neutral. | It must be citric acid.
card-180-7f-acids-and-alkalis-why-can-antacids-help-indigestion,7F Acids and alkalis,7Fd,Which statement best explains why can antacids help indigestion?,A liquid has pH 7. Which statement is most accurate?,3,3,They contain bases that neutralise excess stomach acid. | They increase the acidity of the stomach. | They carry oxygen to muscles. | They reduce resistance in wires.,"It is neutral, not acidic or alkaline. | It is a weak acid because 7 is below 14. | It is a strong alkali because 7 is high. | It must be corrosive."
card-181-7f-acids-and-alkalis-what-is-acid-rain,7F Acids and alkalis,7Fe,Which statement best describes acid rain?,Blue litmus paper is dipped into hydrochloric acid. What should happen?,2,3,Rainwater made more acidic by air pollution. | Rainwater with pH exactly 7. | Water made more alkaline by salt. | Rain that carries red blood cells.,It turns red. | It turns blue. | It turns purple. | It gives a number directly.
card-182-7j-current-electricity-what-is-current,7J Current electricity,7Jc,Which statement best describes electric current?,Red litmus paper is dipped into sodium hydroxide solution. What should happen?,3,3,The flow of electricity or charges around a circuit. | The push from a cell. | A material that blocks electricity. | A branch in a parallel circuit.,It turns blue. | It turns red. | It turns green. | It dissolves to make a salt.
card-183-7j-current-electricity-what-unit-is-used-for-current,7J Current electricity,7Ja,What unit is used for current?,Why is universal indicator more useful than litmus when comparing acid strengths?,4,4,Ampere or amp (A). | Volt (V). | Ohm only. | pH.,It shows a range of colours linked to different pH values. | It only tells whether a liquid is hot or cold. | It gives only two colours: red or blue. | It neutralises acids before a reading is taken.
card-184-7j-current-electricity-how-should-an-ammeter-be-connected,7J Current electricity,7Jc,Which statement best explains how should an ammeter be connected?,Which statement best describes neutralisation?,4,4,In series with the component. | In parallel across the component. | Outside the circuit. | Only across the cell.,An acid reacts with a base or alkali to make a solution closer to neutral. | An acid is made more concentrated by removing water. | An indicator changes directly into a salt. | A solid disappears without reacting.
card-185-7j-current-electricity-what-is-voltage,7J Current electricity,7Jd,Which statement describes voltage?,What are the products of the reaction: acid + alkali?,3,3,A measure of energy transferred by electricity; the push from the source. | The number of branches in a circuit. | The resistance of plastic. | The unit of current.,Salt and water. | Acid and water. | Alkali and hydrogen. | Indicator and oxygen.
card-186-7j-current-electricity-how-should-a-voltmeter-be-connected,7J Current electricity,7Je,Which statement best explains how should a voltmeter be connected?,Which statement describes a base in acid reactions?,4,4,In parallel across the component. | In series with the component. | Inside the cell. | Only next to a fuse.,A substance that reacts with and neutralises an acid. | A solution that must have pH below 7. | A dye used only to show acid strength. | A substance that cannot form salts.
card-187-7j-current-electricity-what-does-a-cell-do-in-a-circuit,7J Current electricity,7Ja,Which statement describes what a cell do in a circuit?,A white solid disappears completely when stirred into water. Which word describes the solid?,2,3,Provides electrical energy. | Measures current. | Increases rubbing between bones. | Neutralises acid.,Soluble. | Insoluble. | Concentrated. | Corrosive.
card-188-7j-current-electricity-what-does-a-switch-do,7J Current electricity,7Jd,What does closing a switch do in a circuit?,A metal oxide remains as a solid after stirring in water. Which word describes it?,2,3,Opens or closes a circuit. | Measures voltage. | Carries oxygen. | Shows pH.,Insoluble. | Soluble. | Neutral. | Dilute.
card-189-7j-current-electricity-what-is-a-conductor,7J Current electricity,7Ja,Which statement describes a conductor?,Water is added to an acid before the experiment. Which statement describes the new solution?,2,4,A material that allows electricity to flow. | A material that blocks electricity. | A solution with pH more than 7. | A bone connection tissue.,It is more dilute because the acid particles are spread through more water. | It is more concentrated because more liquid has been added. | It must now be neutral because all acids become pH 7 in water. | It is insoluble because water has been added.
card-190-7j-current-electricity-what-is-an-insulator,7J Current electricity,7Ja,Which statement describes an insulator?,Which description fits a concentrated acid best?,2,4,A material that does not allow electricity to flow easily. | A material that lets electricity flow easily. | A device that measures current. | A component that produces light.,A large amount of acid dissolved in a relatively small volume of solution. | Any acid with pH exactly 7. | An acid that has been made safer by adding lots of water. | An acid that cannot react with bases.
card-191-7j-current-electricity-what-is-resistance,7J Current electricity,7Jd,Which statement describes resistance?,"In the reaction hydrochloric acid + sodium hydroxide → sodium chloride + water, which are the reactants?",4,4,How difficult it is for current to flow. | The flow of charges. | The unit of voltage. | A gas exchange surface.,hydrochloric acid and sodium hydroxide | sodium chloride and water | hydrochloric acid and sodium chloride | sodium hydroxide and water
card-192-7j-current-electricity-what-does-a-resistor-do,7J Current electricity,7Jd,Which statement describes what a resistor do?,"In the reaction hydrochloric acid + sodium hydroxide → sodium chloride + water, which are the products?",4,4,Increases resistance and reduces current. | Measures voltage. | Makes a solution neutral. | Carries blood to the heart.,sodium chloride and water | hydrochloric acid and sodium hydroxide | hydrochloric acid and water | sodium hydroxide and sodium chloride
card-193-7j-current-electricity-what-is-a-variable-resistor,7J Current electricity,7Jd,Which statement best describes a variable resistor?,Which salt-name ending is made when hydrochloric acid reacts with a base?,4,3,A resistor whose resistance can be changed. | A fixed wire that always melts. | A cell with two voltmeters. | A switch that cannot open.,chloride | nitrate | sulfate | oxide
card-194-7j-current-electricity-what-is-a-series-circuit,7J Current electricity,7Jc,Which statement best describes a series circuit?,Which salt-name ending is made when nitric acid reacts with a base?,3,3,A circuit with one loop or path. | A circuit with branches. | A circuit with pH less than 7. | A circuit with no components.,nitrate | chloride | sulfate | oxide
card-195-7j-current-electricity-what-is-a-parallel-circuit,7J Current electricity,7Jc,Which statement best describes a parallel circuit?,Which salt-name ending is made when sulfuric acid reacts with a base?,3,3,A circuit with branches. | A circuit with one loop only. | A circuit that cannot have switches. | A circuit that contains only a cell.,sulfate | chloride | nitrate | hydroxide
card-196-7j-current-electricity-what-happens-to-current-in-a-series-c,7J Current electricity,7Jd,What happens to current in a series circuit?,Why can an antacid help with indigestion?,3,4,It is the same everywhere. | It is zero everywhere. | It only flows through voltmeters. | It doubles at every bulb.,It contains a base that neutralises excess stomach acid. | It contains an acid that makes the stomach more acidic. | It is an indicator that changes the stomach colour. | It is a salt that stops all digestion.
card-197-7j-current-electricity-what-is-the-current-rule-for-a-parall,7J Current electricity,7Jc,Which statement best describes the current rule for a parallel circuit?,Which statement best explains acid rain?,3,4,Total current equals the sum of the branch currents. | Current is the same everywhere. | Current only flows in one branch. | Current is measured in volts.,Rainwater becomes more acidic when acidic gases dissolve in it. | Rainwater becomes pH 7 whenever it falls through air. | Rainwater becomes alkaline when salt crystals dissolve in it. | Rainwater is called acid rain only if it is purple with universal indicator.
card-198-7j-current-electricity-what-happens-if-one-bulb-breaks-in-a-,7J Current electricity,7Jd,What happens in a parallel circuit if one bulb breaks?,Which liquid would you choose as an example of an acid containing ethanoic acid?,3,3,Other branches can still work. | Every bulb must go out. | The circuit turns into an acid. | The voltage becomes pH 7.,vinegar | oven cleaner | washing powder | pure water
card-199-7j-current-electricity-what-usually-happens-if-you-add-more-,7J Current electricity,7Jd,What usually happens if you add more bulbs in series?,Which liquid would you choose as an example of an acid containing citric acid?,4,3,Bulbs get dimmer because resistance increases and current decreases. | Bulbs get brighter because resistance decreases. | Only one bulb can be switched on. | Current becomes pH 14.,lemon juice | toothpaste | washing powder | indigestion powder
card-200-7j-current-electricity-what-condition-gives-the-largest-curr,7J Current electricity,7Jd,What condition gives the largest current?,Which everyday substance is the best example of neutral pH?,4,3,High voltage and low resistance. | Low voltage and high resistance. | High pH and low pH. | No cell and an open switch.,pure water | stomach acid | oven cleaner | vinegar
card-201-7j-current-electricity-which-formula-is-ohm-s-law,7J Current electricity,7Ja,Which formula is Ohm’s law?,Which everyday substance is usually alkaline but not as strongly alkaline as oven cleaner?,2,4,V = I × R. | I = V × R × pH. | pressure = force / area. | acid + alkali → salt + water.,toothpaste | vinegar | lemon juice | fizzy drink
card-202-7j-current-electricity-what-is-an-and-circuit,7J Current electricity,7Jc,Which statement best describes an AND circuit?,Which substance is the best example of a strongly alkaline household cleaner?,2,3,Two switches arranged so both must be closed for the component to turn on. | Two switches arranged so either switch can turn it on. | A circuit with no complete path. | A pH indicator circuit.,oven cleaner | milk | fizzy drink | lemon juice
card-203-7j-current-electricity-what-is-an-or-circuit,7J Current electricity,7Jd,Which statement best describes an OR circuit?,Which drink is acidic in the pack’s everyday pH examples?,2,3,Two switches arranged so either switch can turn the component on. | Two switches arranged so both must be closed. | A circuit with only resistors. | A circuit that measures pulse rate.,fizzy drink | pure water | washing powder | oven cleaner
card-204-7j-current-electricity-what-does-a-fuse-do,7J Current electricity,7Je,Which statement describes what a fuse do?,Which substance is used to neutralise excess stomach acid?,3,3,Melts and breaks the circuit if current is too high. | Increases pH. | Carries oxygen. | Measures voltage across a bulb.,indigestion powder or antacid | vinegar | lemon juice | universal indicator
card-205-7j-current-electricity-what-colour-is-the-earth-wire-in-a-uk,7J Current electricity,7Je,What colour is the earth wire in a UK plug?,A solution is tested with phenolphthalein and remains colourless. Which conclusion is most likely?,2,4,Green/yellow. | Brown. | Blue. | Red litmus.,It is acidic or neutral rather than alkaline. | It is strongly alkaline. | It must contain copper sulfate. | It must be flammable.
card-264-7c-muscles-and-bones-which-organ-is-the-main-site-of-gas-exc,7C Muscles and bones,7Cc,Which organ is the main site of gas exchange?,A solution is tested with phenolphthalein and turns pink. Which conclusion is most likely?,2,3,lungs|stomach|skull|femur,It is alkaline. | It is acidic. | It is neutral pure water. | It contains no dissolved substances.
card-265-7c-muscles-and-bones-what-happens-to-oxygen-during-gas-excha,7C Muscles and bones,7Cc,What happens to oxygen during gas exchange in the lungs?,A solution turns methyl orange red. Which conclusion is most likely?,3,3,Oxygen moves from the air spaces into the blood.|Oxygen is made by the ribs.|Oxygen turns into plasma.|Oxygen leaves the blood and enters the lungs.,It is acidic. | It is alkaline. | It is neutral pure water. | It is a pH meter.
card-266-7c-muscles-and-bones-what-happens-to-carbon-dioxide-during-g,7C Muscles and bones,7Cc,What happens to carbon dioxide during gas exchange in the lungs?,A solution turns methyl orange yellow. Which conclusion is most likely?,3,4,Carbon dioxide moves from the blood into the air spaces in the lungs.|Carbon dioxide moves from air into the blood.|Carbon dioxide becomes oxygen in the lungs.|Carbon dioxide is made by bones.,It is alkaline rather than acidic. | It is strongly acidic. | It is flammable because it is yellow. | It is an insoluble base.
